Gene,Score
STIM1,0.27806515
TRPC1,0.62040305
NOS1,0.76622343
ATP2B4,0.4383586
ABCC9,0.37718087
KCNJ11,0.14249595
HADHA,0.30068764
HADHB,0.39217252
GTF2E2,0.5432821
GTF2E1,0.257964
GTF2A2,0.050276827
GTF2A1,0.47963044
VANGL2,0.20022494
SCRIB,0.8907201
DVL2,0.9272559
PARD6A,0.17052051
GRB2,0.9825698
GAB1,0.9606467
EGFR,0.9998889
EGF,0.97570103
PIK3CA,1.0
PIK3R1,0.9974037
SRC,0.99974006
PXN,0.97784424
CLPS,8.218519e-05
PNLIP,0.00096667965
GNB1,0.12930866
GNGT1,0.3655166
CNGA1,0.09824581
CNGB1,0.60737675
FNTB,0.07918719
FNTA,0.068452485
RAD50,0.4656906
MRE11,0.22585317
KPNA2,0.9831593
NBN,0.88404393
KAT5,0.9559444
ATM,0.99999726
BAZ1B,0.72884357
SMARCA5,0.29988754
UBE2I,0.9094424
SUMO1,0.9342898
UBE2V2,0.23695645
UBE2N,0.27973628
BARD1,0.7123413
BRCA1,0.99706286
SUMO2,0.7679558
MDC1,0.96214575
HERC2,0.9881911
ATRIP,0.36744606
ATR,0.96158653
TIMELESS,0.5067346
TIPIN,0.25963876
PPP4R2,0.29096457
PPP4C,0.045716263
RAD51C,0.29560578
XRCC3,0.4485683
EME2,0.028665742
MUS81,0.20338708
EME1,0.049247112
BRCA2,0.98528975
RAD51,0.9501486
ERCC4,0.5051491
ERCC1,0.30639324
XRCC1,0.41736087
LIG3,0.73864746
XRCC6,0.9681814
XRCC5,0.957881
XRCC4,0.26905736
LIG4,0.9187727
HEXB,0.24507977
HEXA,0.37432966
EXT2,0.55813694
EXT1,0.26333082
SOS1,0.85559165
CDK1,0.93986607
CCNB1,0.87844753
PCF11,0.19656321
CLP1,0.065981954
TEAD1,0.9768514
YAP1,0.96537006
TEAD2,0.9513817
TEAD3,0.31753314
TEAD4,0.6971909
CDK8,0.47865254
CCNC,0.29308635
SMAD7,0.8845503
RNF111,0.9084069
PTEN,0.99315006
TP53,1.0
TSC1,0.9626758
TSC2,0.91399753
SCO2,0.18042903
RRM2B,0.22775999
GLS2,0.06354269
IGFBP3,0.79402214
PMAIP1,0.18339513
BID,0.90776074
TP53AIP1,0.12696317
ZNF420,0.30886468
STEAP3,0.0653061
BNIP3L,0.25011533
TRIAP1,0.11009657
AIFM2,0.014839357
TP53INP1,0.13801499
APAF1,0.6411265
PIDD1,0.48737547
CRADD,0.012628028
NLRC4,0.53732777
CASP6,0.70857954
CASP10,0.56601894
NDRG1,0.7047194
BCL2L14,0.006823396
BIRC5,0.6265518
BCL6,0.9522012
ZNF385A,0.32057953
ARID3A,0.2802005
E2F7,0.061004154
E2F8,0.3711436
GADD45A,0.65697503
AURKA,0.79045135
PCNA,0.9513556
BAX,0.8783996
SFN,0.9776015
PLK2,0.6066913
PLK3,0.59539676
RGCC,0.3831006
PLAGL1,0.57071143
ATF2,0.9736332
JUN,0.9999149
FOS,0.99450654
PMS2,0.7231587
MLH1,0.8994419
FANCC,0.8175972
DDB2,0.6034458
PRDM1,0.97540194
