Gene,Score
STIM1,0.094274744
TRPC1,0.10447371
NOS1,0.07105941
ATP2B4,0.14599125
ABCC9,0.031227527
KCNJ11,0.06154932
HADHA,0.04637746
HADHB,0.0115923565
GTF2E2,0.06275428
GTF2E1,0.12848863
GTF2A2,0.077363774
GTF2A1,0.2103246
VANGL2,0.23641974
SCRIB,0.44678432
DVL2,0.21175991
PARD6A,0.6036831
GRB2,0.8111337
GAB1,0.2794357
EGFR,0.6436745
EGF,0.5292648
PIK3CA,0.9975114
PIK3R1,0.80555916
SRC,0.42411765
PXN,0.6253874
CLPS,0.000702481
PNLIP,0.00023276272
GNB1,0.28800008
GNGT1,0.0038662637
CNGA1,8.9689514e-05
CNGB1,2.033882e-06
FNTB,0.043336492
FNTA,0.041156754
RAD50,0.2846733
MRE11,0.40989465
KPNA2,0.45405403
NBN,0.12241788
KAT5,0.35223243
ATM,0.96465236
BAZ1B,0.37260902
SMARCA5,0.35671607
UBE2I,0.31375077
SUMO1,0.83280087
UBE2V2,0.0029072089
UBE2N,0.0064733513
BARD1,0.448923
BRCA1,0.9531081
SUMO2,0.28854662
MDC1,0.423059
HERC2,0.0022801938
ATRIP,0.09196567
ATR,0.7757334
TIMELESS,0.20594548
TIPIN,0.025839703
PPP4R2,0.056695268
PPP4C,0.037390955
RAD51C,0.00065268093
XRCC3,0.034228887
EME2,0.0012311983
MUS81,0.024988212
EME1,0.049033232
BRCA2,0.6737351
RAD51,0.051011585
ERCC4,0.07806476
ERCC1,0.090090394
XRCC1,0.06677842
LIG3,0.049143836
XRCC6,0.53973854
XRCC5,0.51706207
XRCC4,0.019534288
LIG4,0.0020498422
HEXB,0.060044166
HEXA,0.07225171
EXT2,0.026521325
EXT1,0.012494388
SOS1,0.7226154
CDK1,0.83273935
CCNB1,0.22410999
PCF11,0.34984982
CLP1,0.011359641
TEAD1,0.122842245
YAP1,0.4263961
TEAD2,0.7194774
TEAD3,0.00345355
TEAD4,0.043375652
CDK8,0.19837534
CCNC,0.0991508
SMAD7,0.72806394
RNF111,0.25988466
PTEN,0.77891535
TP53,0.95540684
TSC1,0.24755152
TSC2,0.42202586
SCO2,0.0007352932
RRM2B,0.108967446
GLS2,0.032017354
IGFBP3,0.07060176
PMAIP1,0.0045466297
BID,0.31775725
TP53AIP1,0.0021089641
ZNF420,0.056193005
STEAP3,0.005298717
BNIP3L,0.05372834
TRIAP1,0.00043320938
AIFM2,0.00095523166
TP53INP1,0.019145237
APAF1,0.022009673
PIDD1,0.070988245
CRADD,0.0082540335
NLRC4,0.00430899
CASP6,0.1462704
CASP10,0.5218656
NDRG1,0.34101716
BCL2L14,0.02140451
BIRC5,0.35526344
BCL6,0.5377284
ZNF385A,0.0035586332
ARID3A,0.015357841
E2F7,0.0814864
E2F8,0.0054397443
GADD45A,0.121211044
AURKA,0.33883354
PCNA,0.5360015
BAX,0.17618412
SFN,0.8626606
PLK2,0.1500153
PLK3,0.08025045
RGCC,0.06590845
PLAGL1,0.11116301
ATF2,0.41006395
JUN,0.9471873
FOS,0.9645943
PMS2,0.06675018
MLH1,0.08942067
FANCC,0.051007498
DDB2,0.02159767
PRDM1,0.4094906
MDM2,0.8200718
MDM4,0.59201485
CCNG1,0.04577864
HIPK2,0.6146254
PIN1,0.0205951
HIPK1,0.23487596
SSRP1,0.16934824
SUPT16H,0.1826481
CSNK2A1,0.75269485
CSNK2A2,0.62698877
TPX2,0.28187308
NOC2L,0.13345128
CDK5R1,0.19901885
CDK5,0.38905832
POU4F1,0.024176368
POU4F2,1.0699987e-05
BANP,0.0047765686
PHF20,0.25406945
L3MBTL1,0.041703034
EHMT2,0.050426498
EHMT1,0.07363365
TFAP2A,0.7212665
DEK,0.12037303
TFAP2C,0.08757536
WWOX,0.044187695
TFAP2B,0.1442418
YEATS4,0.029974394
ESR1,0.887589
ATAD2,0.25873914
VEGFA,0.10319824
TGFA,0.009433843
CDKN1A,0.523323
RUNX1,0.44770154
TP73,0.34173357
ZFPM1,0.0077492944
GATA1,0.16656648
CTSK,0.09094747
SERPINB13,0.1998535
CCND1,0.68914664
CDK4,0.7812086
ESRRA,0.4184254
PPARGC1A,0.72117996
TWIST1,0.383344
RUNX2,0.7793261
NKX3-2,0.07396726
MSX2,0.013473092
SMAD4,0.9456059
SMAD1,0.89838445
RUNX3,0.23495522
SMAD3,0.9605302
TFDP1,0.37626317
E2F6,0.17510493
TFDP2,0.22403833
MGA,0.090999804
MAX,0.08239444
SUPT4H1,0.070655905
SUPT5H,0.18369074
ELOB,0.050497893
ELOC,0.03261771
GTF2F1,0.6169623
GTF2F2,0.2101101
NCBP2,0.014780032
NCBP1,0.019270705
TAP1,0.002619777
TAP2,0.002992745
AMN,0.0008773646
CUBN,0.073670395
MMUT,0.0037509582
MMAA,0.002664177
FASLG,0.088107124
FAS,0.21493502
BAG4,0.01597388
TNFRSF1A,0.6891301
TNF,0.20066635
TAX1BP1,0.03308038
TNFAIP3,0.17273578
TNFRSF10A,0.124235995
TNFRSF10D,0.0016422715
TNFRSF10B,0.11795394
NGF,0.029105963
NGFR,0.3775164
IRAK1,0.5460387
MYD88,0.76787025
NFKB1,0.9259257
RELA,0.8395171
UBE2B,0.0065795723
RAD18,0.4231235
WDR48,0.20048772
USP1,0.100221746
REV3L,0.073808655
MAD2L2,0.004274718
RCHY1,0.22334713
POLH,0.10386101
TRIM25,0.09589309
UBE2L6,0.16368304
UBA7,0.0015881277
ISG15,0.039137613
SUMO3,0.55818534
FAAP24,0.02768641
FANCM,0.01686976
CENPX,0.10676342
CENPS,0.016615914
FANCI,0.17226039
FANCD2,0.258329
PCCA,0.0029110266
PCCB,0.0023898387
MCCC2,0.011462257
MCCC1,0.0042317845
CLCF1,0.006747162
CRLF1,0.005760347
PRKCSH,0.012313224
GANAB,0.022669272
CALR,0.10697847
CANX,0.009882906
RAD51B,0.048708335
NME2,0.00065588445
NME1,0.033765245
APPL1,0.2532188
DCC,0.0070900978
MAGED1,0.04310293
UNC5A,0.03320697
PPP3R1,0.13293657
PPP3CC,0.21010926
BCL2,0.69434786
BAD,0.24678509
BAK1,0.07137852
CYCS,0.003604019
XIAP,0.3820683
CASP3,0.5566877
