Gene,Score
STIM1,0.0915371
TRPC1,0.31212777
NOS1,0.7081382
ATP2B4,0.035244457
ABCC9,0.020937255
KCNJ11,0.16575427
HADHA,0.08457427
HADHB,0.0071742483
GTF2E2,0.17262991
GTF2E1,0.16098934
GTF2A2,0.047117107
GTF2A1,0.27264088
VANGL2,0.12789576
SCRIB,0.32920504
DVL2,0.8163487
PARD6A,0.16568193
GRB2,0.9957456
GAB1,0.8236299
EGFR,0.75930756
EGF,0.46203798
PIK3CA,0.96953064
PIK3R1,0.9931751
SRC,0.97447586
PXN,0.87880874
CLPS,0.014763995
PNLIP,0.03292698
GNB1,0.49792498
GNGT1,0.061762016
CNGA1,0.04010257
CNGB1,0.0022535082
FNTB,0.061733566
FNTA,0.1910887
RAD50,0.14623226
MRE11,0.3273706
KPNA2,0.7631948
NBN,0.25654638
KAT5,0.676288
ATM,0.6055116
BAZ1B,0.3334168
SMARCA5,0.65542537
UBE2I,0.9769568
SUMO1,0.85594493
UBE2V2,0.05601148
UBE2N,0.061373483
BARD1,0.54632133
BRCA1,0.9798978
SUMO2,0.3898489
MDC1,0.56171197
HERC2,0.11093638
ATRIP,0.023679854
ATR,0.662942
TIMELESS,0.063462034
TIPIN,0.13175783
PPP4R2,0.012968274
PPP4C,0.13318378
RAD51C,0.018760681
XRCC3,0.026579434
EME2,0.021591516
MUS81,0.19638228
EME1,0.020474473
BRCA2,0.51258576
RAD51,0.32895574
ERCC4,0.34884802
ERCC1,0.13329239
XRCC1,0.21949102
LIG3,0.56991154
XRCC6,0.9154606
XRCC5,0.5698702
XRCC4,0.010557052
LIG4,0.07969328
HEXB,0.006100774
HEXA,0.033726092
EXT2,0.10037975
EXT1,0.008324921
SOS1,0.49491662
CDK1,0.88278776
CCNB1,0.4676818
PCF11,0.055881478
CLP1,0.0078132115
TEAD1,0.15686965
YAP1,0.38104346
TEAD2,0.51270044
TEAD3,0.014509066
TEAD4,0.040220927
CDK8,0.7290566
CCNC,0.06781375
SMAD7,0.9532691
RNF111,0.32693604
PTEN,0.8751072
TP53,0.99991786
TSC1,0.7985398
TSC2,0.7412435
SCO2,0.005414323
RRM2B,0.06345399
GLS2,0.06923891
IGFBP3,0.03860523
PMAIP1,0.035974026
BID,0.63011986
TP53AIP1,0.0766813
ZNF420,0.032206435
STEAP3,0.021819018
BNIP3L,0.06617847
TRIAP1,0.0088126
AIFM2,0.013264909
TP53INP1,0.025932593
APAF1,0.026110472
PIDD1,0.008481501
CRADD,0.01934106
NLRC4,0.02912508
CASP6,0.45901886
CASP10,0.6640734
NDRG1,0.1307443
BCL2L14,0.035739336
