Gene,Score
STIM1,6.749557e-07
TRPC1,4.706227e-09
NOS1,0.0037284936
ATP2B4,0.00012227995
ABCC9,2.7958047e-06
KCNJ11,6.1112674e-05
HADHA,0.009494704
HADHB,0.00066600565
GTF2E2,0.0006021564
GTF2E1,6.1346664e-06
GTF2A2,5.0580584e-06
GTF2A1,0.37647197
VANGL2,0.050659552
SCRIB,0.09287714
DVL2,0.015249996
PARD6A,0.002273968
GRB2,0.6414299
GAB1,0.98094577
EGFR,0.0013882384
EGF,0.108629294
PIK3CA,0.98045427
PIK3R1,0.9877252
SRC,0.9997532
PXN,0.826185
CLPS,2.1909361e-06
PNLIP,7.178044e-07
GNB1,0.013394248
GNGT1,0.0014893805
CNGA1,3.326838e-07
CNGB1,1.7027675e-08
FNTB,0.00016247018
FNTA,0.0021856325
RAD50,1.4700911e-05
MRE11,4.2922957e-06
KPNA2,0.05833059
NBN,0.005647679
KAT5,5.966453e-05
ATM,5.1577983e-05
BAZ1B,0.00033288024
SMARCA5,9.009935e-05
UBE2I,0.1516114
SUMO1,0.638296
UBE2V2,0.0003221581
UBE2N,0.0016947298
BARD1,3.487271e-05
BRCA1,0.002208189
SUMO2,0.0023434823
MDC1,0.0007933579
HERC2,0.0003538224
ATRIP,1.3617993e-06
ATR,0.00440451
TIMELESS,2.6642705e-05
TIPIN,1.3041507e-06
PPP4R2,0.00041762678
PPP4C,0.006512218
RAD51C,2.6277335e-06
XRCC3,8.906072e-05
EME2,0.0001372274
MUS81,1.9956733e-06
EME1,1.184158e-05
BRCA2,6.8406434e-06
RAD51,0.00010693416
ERCC4,0.00050199375
ERCC1,0.010880655
XRCC1,6.0401103e-06
LIG3,2.704889e-05
XRCC6,0.0024607526
XRCC5,0.004982615
XRCC4,1.4624869e-05
LIG4,0.00016503397
HEXB,9.848222e-06
HEXA,4.3361197e-05
EXT2,0.0008128254
EXT1,1.4964946e-05
SOS1,0.14406337
CDK1,0.22529057
CCNB1,0.007945466
PCF11,2.4729743e-05
CLP1,1.1290813e-06
TEAD1,0.0013319998
YAP1,0.36475277
TEAD2,0.0023094104
TEAD3,0.0009869542
TEAD4,2.0800358e-05
CDK8,0.027208379
CCNC,3.232924e-05
SMAD7,0.9647149
RNF111,0.22857298
PTEN,0.96972656
TP53,0.0041195136
TSC1,0.005972308
TSC2,0.06066962
SCO2,5.814104e-05
RRM2B,0.00079378585
GLS2,0.023875179
IGFBP3,0.006343293
PMAIP1,0.0018310176
BID,0.004853627
TP53AIP1,0.00013408909
ZNF420,0.00017716797
STEAP3,2.4803066e-08
BNIP3L,0.00036324153
TRIAP1,2.777505e-06
AIFM2,3.1325027e-07
TP53INP1,0.0014229679
APAF1,0.009061556
PIDD1,7.712441e-05
CRADD,2.0067466e-06
NLRC4,4.6225683e-05
CASP6,0.2309358
CASP10,0.0054848455
NDRG1,0.0109329745
BCL2L14,5.54178e-05
BIRC5,0.37837094
BCL6,0.03591427
ZNF385A,2.6282692e-05
ARID3A,0.0028708938
E2F7,0.001161665
E2F8,1.4188683e-05
GADD45A,0.014154203
AURKA,0.012911768
PCNA,0.013415386
BAX,0.014535947
SFN,0.005237087
PLK2,0.00028108325
PLK3,6.0021084e-05
RGCC,5.2933854e-05
PLAGL1,0.0006028219
ATF2,0.4708063
JUN,0.99971956
FOS,0.7023313
PMS2,0.00014705422
MLH1,0.00047260796
FANCC,0.007298168
DDB2,0.003926194
PRDM1,0.044405587
MDM2,0.07074084
MDM4,0.010136553
CCNG1,4.10661e-05
HIPK2,0.41143167
PIN1,9.302592e-05
HIPK1,0.0003533879
SSRP1,1.3571112e-06
SUPT16H,6.819364e-05
CSNK2A1,0.0003265226
CSNK2A2,0.00010862042
TPX2,0.001025461
NOC2L,1.1981538e-06
CDK5R1,0.0021844846
CDK5,0.28226778
POU4F1,2.7536951e-05
POU4F2,6.8969355e-09
BANP,5.093608e-06
PHF20,8.341416e-06
L3MBTL1,0.0002234415
EHMT2,4.8490497e-06
EHMT1,9.5495656e-05
TFAP2A,0.0019580808
DEK,8.154828e-06
TFAP2C,0.00019246078
WWOX,7.206456e-05
TFAP2B,2.3159302e-07
YEATS4,1.1829826e-06
ESR1,0.9689836
ATAD2,0.00042480743
VEGFA,0.0037553818
TGFA,0.0028289452
CDKN1A,0.017705904
RUNX1,0.12569264
TP73,0.27405554
ZFPM1,0.0016062137
GATA1,0.01116632
CTSK,1.3094106e-07
SERPINB13,5.031065e-05
CCND1,0.9957879
CDK4,0.0015175178
ESRRA,0.47699967
PPARGC1A,0.8643269
TWIST1,0.10704863
RUNX2,0.33868802
NKX3-2,5.2488645e-06
MSX2,9.770802e-06
SMAD4,0.12792698
SMAD1,0.0027189753
RUNX3,0.72867876
SMAD3,0.99996066
TFDP1,0.00090060715
E2F6,0.00071212195
TFDP2,5.204847e-05
MGA,0.00032502002
MAX,2.8379143e-05
SUPT4H1,2.6502317e-05
SUPT5H,0.00025399192
ELOB,0.0008116114
ELOC,0.0024869684
GTF2F1,0.011052536
GTF2F2,0.011327549
NCBP2,0.0001423702
NCBP1,2.8117784e-06
TAP1,0.97399616
TAP2,4.335948e-06
AMN,8.2703906e-07
CUBN,2.4083654e-05
MMUT,3.3131016e-06
MMAA,4.743285e-08
FASLG,6.402263e-05
FAS,0.0027753697
BAG4,0.00014865665
TNFRSF1A,0.99688596
TNF,0.059467517
TAX1BP1,6.208684e-05
TNFAIP3,0.017509835
TNFRSF10A,0.0064957836
TNFRSF10D,5.663921e-06
TNFRSF10B,8.2389334e-07
NGF,2.5248668e-05
NGFR,0.0013227295
IRAK1,0.9991418
MYD88,0.8182786
NFKB1,0.99896085
RELA,0.998589
UBE2B,0.0002898324
RAD18,0.21855085
WDR48,0.1345858
USP1,0.0041758385
REV3L,1.1179644e-07
MAD2L2,2.5852974e-06
RCHY1,0.06842565
POLH,0.00021653269
TRIM25,0.0013728727
UBE2L6,0.016110666
UBA7,8.5545726e-05
ISG15,0.8558778
SUMO3,0.74643624
FAAP24,2.89255e-05
FANCM,6.3627136e-05
CENPX,0.0013396535
CENPS,6.473419e-06
FANCI,0.005109745
FANCD2,0.0011167475
PCCA,0.00011253095
PCCB,0.0029658587
MCCC2,9.118071e-05
MCCC1,2.7672252e-06
CLCF1,3.274517e-08
CRLF1,3.30814e-08
PRKCSH,0.0008566517
GANAB,0.013457249
CALR,0.0015679344
CANX,0.00019842546
RAD51B,7.792217e-11
NME2,0.00049865636
NME1,0.035115235
APPL1,0.06536587
DCC,0.001273226
MAGED1,0.00094938534
UNC5A,0.00018742589
PPP3R1,0.0011250665
PPP3CC,0.00016244386
BCL2,0.81413203
BAD,0.041957293
BAK1,0.00034233864
CYCS,0.003049435
XIAP,0.096568555
CASP3,0.19294532
CASP7,0.5160027
CASP9,0.008900394
DIABLO,0.0007589441
DFFB,0.0015574634
DFFA,0.002237011
KPNA1,0.040064044
KPNB1,0.22516179
PAK2,0.36190405
ARHGAP10,0.00041653437
RIPK1,0.08201141
RIPK3,0.046469107
GCH1,0.00018372326
GCHFR,1.50332335e-05
UBE2V1,0.00054944016
TRAF6,0.9526523
IRAK2,0.00010214856
HBEGF,0.0009889681
CAPZA2,0.006575291
CAPZB,0.002016146
CAPZA3,1.4343014e-05
CAPZA1,0.005357258
GORASP1,3.2185337e-05
GOLGA2,4.4526946e-06
TGFBR1,0.92162657
FKBP1A,0.0011394948
RASGRF2,0.0030748171
RASGRF1,0.00033845677
GRIA2,0.016425759
GRIA1,0.01904289
TYK2,0.9797671
IFNAR1,0.0019228352
TFB2M,7.944498e-06
POLRMT,4.0134626e-05
DGCR8,1.3819111e-07
DROSHA,0.0018410559
TSNAX,2.0239927e-08
TSN,0.0010131024
BAZ2A,6.607798e-05
DNMT3A,9.705853e-07
DNMT3L,0.005869371
DNMT3B,0.031251315
CUL1,0.07653187
CAND1,1.0420596e-05
TFRC,0.0001217501
HFE,0.0010390893
TF,0.0032769141
HSD17B8,1.0601909e-05
CBR4,3.1724505e-06
CCNB2,0.00073517475
SBF1,2.7944081e-05
MTMR2,6.97272e-05
MTMR7,3.431735e-05
MTMR9,0.00015829533
PIK3CB,0.003361073
PIK3R2,0.53619415
PIK3CD,0.0022116147
PIK3R3,0.045616884
PIK3R5,4.6274107e-07
PIK3CG,0.012939157
PLEKHA2,0.0043318556
PTPN13,0.00088304887
PLEKHA1,0.0006564207
MTMR6,1.1505316e-06
SBF2,0.00016218942
MTM1,8.952168e-07
MTMR12,1.5168632e-05
GAB2,0.14414524
ITPR1,0.15563492
MRVI1,1.0181186e-05
PTPN6,0.9976458
PECAM1,0.0012339249
PTPN11,0.638533
IL6R,0.004620996
IL6,9.2128386e-05
STAT1,0.9678074
STAT3,0.99915767
KDR,0.00020059329
HRG,3.316748e-05
PLG,0.00040307597
ANXA2,0.0049935794
S100A10,5.717543e-05
SERPINF2,6.630078e-06
PLAU,3.1318712e-05
PLAUR,0.00014052204
ATP7A,3.7688205e-06
PDZD11,0.00058477616
CLCN7,0.0007142012
OSTM1,9.803637e-06
TXN,0.012938852
TXNIP,0.03933731
NLRP3,0.0030482041
MEFV,0.000121956116
PSTPIP1,0.00037964506
PYCARD,0.009235233
CGA,0.0014075019
LHB,6.311095e-05
AVPR2,0.0012758127
AVP,6.251863e-07
GCG,6.4363354e-05
GCGR,3.3013498e-06
RAMP3,1.1885116e-05
CALCR,0.0037268326
RAMP1,8.9767045e-06
TSHB,6.5739678e-06
GPHB5,1.87039e-10
GPHA2,0.00020845055
CALCRL,0.00056998123
RAMP2,2.0314493e-08
GLP2R,9.038479e-05
FSHB,4.1944928e-05
ITGAV,0.04337941
ITGB5,0.0010385049
STX4,1.185884e-07
SEC22B,1.1144754e-10
GLI3,0.044582758
PTCH1,0.00834367
GLI1,0.056661546
GLI2,0.015944548
SUFU,1.7828943e-05
NUMB,0.00035601668
ITCH,0.96784925
ABHD5,1.430542e-07
PLIN1,0.0005416274
LIPE,0.0001277191
FABP4,0.00041754538
KCNJ16,0.00014445945
KCNJ15,4.254658e-09
KCNJ10,0.0006996191
CXCL16,4.4674794e-06
CXCR6,0.0008135499
C5AR1,5.199489e-05
C5,1.9491146e-08
CX3CL1,1.920316e-05
CX3CR1,6.504968e-06
TAS1R2,8.230233e-12
TAS1R3,9.147241e-13
TAS1R1,2.3157745e-12
GABBR2,0.0018214979
GABBR1,0.0005630302
IL10RB,1.6004426e-05
GABPB1,0.00015884735
GABPA,0.0008403871
TNPO1,0.016989674
KIF17,0.00022348583
GSTA1,0.08266983
GSTA2,0.0030357246
GCLC,0.0001577711
GCLM,0.0014869566
INS,0.0007366443
INSR,0.51301354
ABCD2,4.7241894e-05
ABCD1,4.7825665e-07
ABCD3,3.384182e-05
ABCG5,8.9945115e-06
ABCG8,0.0005557519
CHRNB2,6.780729e-09
CHRNA4,5.3152985e-07
CHRNA3,2.5996611e-08
CHRNB4,2.3509338e-07
FOXM1,0.008194658
PLK1,0.0041068527
CENPF,0.040076714
TACR1,2.6457066e-05
TAC1,2.8769957e-05
TACR2,2.2172696e-06
OXTR,0.0009690311
OXT,6.03395e-06
CRH,3.0986013e-07
CRHBP,0.00016725053
ADGRE5,3.747685e-07
CD55,6.3032996e-05
CBY1,1.3058212e-05
CTNNB1,0.0074631125
CTNNBIP1,0.0004326686
CHD8,0.00072447077
MCFD2,0.00075733726
LMAN1,0.0011262327
TMED10,3.7367606e-06
TMED2,0.0001105557
CD4,0.025087537
LCK,0.88928384
RAB3GAP1,8.113451e-05
RAB3GAP2,0.00011117501
NTRK2,0.037613984
BDNF,7.7211604e-05
NTF4,0.00016152239
IL2RB,3.3951146e-05
JAK1,0.9382423
JAK3,0.15971968
IL2RG,2.0773557e-05
PTK2B,0.9636881
EBI3,0.00011270503
IL27,2.7672563e-08
NECTIN1,1.2227002e-05
NECTIN3,4.3003183e-06
NECTIN4,0.00031915703
