Gene,Score
STIM1,0.12439326
TRPC1,0.11987477
NOS1,0.9004939
ATP2B4,0.18690938
ABCC9,0.14642607
KCNJ11,0.07112675
HADHA,0.12651035
HADHB,0.13010585
GTF2E2,0.056415077
GTF2E1,0.029872553
GTF2A2,0.097691916
GTF2A1,0.21101564
VANGL2,0.17120087
SCRIB,0.94899046
DVL2,0.44725636
PARD6A,0.19032077
GRB2,0.5325795
GAB1,0.6974097
EGFR,0.7320321
EGF,0.18197215
PIK3CA,0.99919015
PIK3R1,0.80499274
SRC,0.8948093
PXN,0.7694611
CLPS,0.016449025
PNLIP,0.050740357
GNB1,0.23935555
GNGT1,0.040772974
CNGA1,0.023260497
CNGB1,0.0011750981
FNTB,0.10286631
FNTA,0.10711021
RAD50,0.26313645
MRE11,0.211257
KPNA2,0.6106773
NBN,0.059928037
KAT5,0.69491047
ATM,0.4888087
BAZ1B,0.10751158
SMARCA5,0.3957821
UBE2I,0.8798022
SUMO1,0.79066247
UBE2V2,0.07487907
UBE2N,0.09998494
BARD1,0.09629056
BRCA1,0.94520146
SUMO2,0.2468071
MDC1,0.163262
HERC2,0.2557155
ATRIP,0.12450614
ATR,0.87933207
TIMELESS,0.0687559
TIPIN,0.024718167
PPP4R2,0.035694454
PPP4C,0.06011811
RAD51C,0.034840018
XRCC3,0.091203734
EME2,0.04255203
MUS81,0.04503425
EME1,0.021599758
BRCA2,0.098648675
RAD51,0.38367587
ERCC4,0.08181801
ERCC1,0.032154158
XRCC1,0.08226449
LIG3,0.13918394
XRCC6,0.68313134
XRCC5,0.5382011
XRCC4,0.03689629
LIG4,0.11115994
HEXB,0.06002041
HEXA,0.09867635
EXT2,0.02255286
EXT1,0.013186474
SOS1,0.48167327
CDK1,0.74921066
CCNB1,0.316497
PCF11,0.037147082
CLP1,0.026123315
TEAD1,0.09474939
YAP1,0.77266544
TEAD2,0.7573881
TEAD3,0.08748316
TEAD4,0.07122073
CDK8,0.11829611
CCNC,0.020711832
SMAD7,0.80353254
RNF111,0.4746028
PTEN,0.9996551
TP53,1.0
TSC1,0.34026417
TSC2,0.5157028
SCO2,0.10225304
RRM2B,0.06472933
GLS2,0.29998952
IGFBP3,0.23967552
PMAIP1,0.02667768
BID,0.28579158
TP53AIP1,0.09806157
ZNF420,0.0345625
STEAP3,0.04846657
BNIP3L,0.11765794
TRIAP1,0.008732533
AIFM2,0.003201295
TP53INP1,0.03096697
APAF1,0.084806874
PIDD1,0.19340992
CRADD,0.030356193
NLRC4,0.16913185
CASP6,0.2733374
CASP10,0.03551925
NDRG1,0.4031927
BCL2L14,0.0036316826
BIRC5,0.18805826
BCL6,0.12190922
ZNF385A,0.057630956
ARID3A,0.08457641
E2F7,0.10114386
E2F8,0.023940086
GADD45A,0.16859551
AURKA,0.5448644
PCNA,0.06791348
BAX,0.10528009
SFN,0.33952183
PLK2,0.11266384
PLK3,0.10898592
RGCC,0.13691874
PLAGL1,0.21731344
ATF2,0.26984352
JUN,0.9408756
FOS,0.858042
PMS2,0.066986956
MLH1,0.26480296
FANCC,0.15918185
DDB2,0.067547835
PRDM1,0.5535834
MDM2,0.6918703
MDM4,0.4419657
CCNG1,0.086917035
HIPK2,0.33626053
PIN1,0.25188237
HIPK1,0.1013916
SSRP1,0.0959205
SUPT16H,0.38209447
CSNK2A1,0.9203431
CSNK2A2,0.4059601
TPX2,0.115412764
NOC2L,0.098696
CDK5R1,0.22772585
CDK5,0.22017196
POU4F1,0.07365585
POU4F2,0.0021221745
BANP,0.007146956
PHF20,0.06651824
L3MBTL1,0.18417886
EHMT2,0.06778024
EHMT1,0.04413809
TFAP2A,0.39270964
DEK,0.13061485
TFAP2C,0.26095587
WWOX,0.23787163
TFAP2B,0.093937
YEATS4,0.108866334
ESR1,0.9944061
ATAD2,0.09243549
VEGFA,0.3632645
TGFA,0.22897983
CDKN1A,0.27081138
RUNX1,0.3612802
TP73,0.4347647
ZFPM1,0.056060277
GATA1,0.21078557
CTSK,0.12016547
SERPINB13,0.19755332
CCND1,0.5151081
CDK4,0.5140559
ESRRA,0.13896653
PPARGC1A,0.66601163
TWIST1,0.29720932
RUNX2,0.6137204
NKX3-2,0.1382323
MSX2,0.097597696
SMAD4,0.57265425
SMAD1,0.8989641
RUNX3,0.6130192
SMAD3,0.6073715
TFDP1,0.19526142
E2F6,0.045251485
TFDP2,0.13328405
MGA,0.059890244
MAX,0.03538602
SUPT4H1,0.021218197
SUPT5H,0.25781092
ELOB,0.130975
ELOC,0.054273408
GTF2F1,0.061372656
GTF2F2,0.043434996
NCBP2,0.027537867
NCBP1,0.10803899
TAP1,0.091350056
TAP2,0.023075607
AMN,0.04061086
CUBN,0.24797924
MMUT,0.014264792
MMAA,0.019897161
FASLG,0.67572093
FAS,0.8753336
BAG4,0.10548545
TNFRSF1A,0.6047718
TNF,0.75106853
TAX1BP1,0.2927286
TNFAIP3,0.22996263
TNFRSF10A,0.08213763
TNFRSF10D,0.011258969
TNFRSF10B,0.40863842
NGF,0.1713145
NGFR,0.4300812
IRAK1,0.75735927
MYD88,0.80094934
NFKB1,0.3612082
RELA,0.846092
UBE2B,0.02605259
RAD18,0.17659858
WDR48,0.13077028
USP1,0.19018799
REV3L,0.08489913
MAD2L2,0.0780966
RCHY1,0.08258521
POLH,0.05938039
TRIM25,0.10817722
UBE2L6,0.17038788
UBA7,0.041328
ISG15,0.17803465
SUMO3,0.11132474
FAAP24,0.024136426
FANCM,0.16058359
CENPX,0.005975315
CENPS,0.03243491
FANCI,0.03819533
FANCD2,0.32263085
PCCA,0.033092048
PCCB,0.03539283
MCCC2,0.043760646
MCCC1,0.026681844
CLCF1,0.009260126
CRLF1,0.020176597
PRKCSH,0.09678289
GANAB,0.11894435
CALR,0.3477497
CANX,0.27069512
RAD51B,0.03734328
NME2,0.17732242
NME1,0.16738199
APPL1,0.60320866
DCC,0.7216978
MAGED1,0.03635207
UNC5A,0.067313604
PPP3R1,0.08258062
PPP3CC,0.13194434
BCL2,0.16254814
BAD,0.22484733
BAK1,0.027337752
CYCS,0.087095216
XIAP,0.20873158
CASP3,0.8245496
CASP7,0.1604876
CASP9,0.3062318
DIABLO,0.034326166
DFFB,0.04724513
DFFA,0.059451617
KPNA1,0.3187803
KPNB1,0.4293873
PAK2,0.4778492
ARHGAP10,0.13231365
RIPK1,0.60565335
RIPK3,0.20983724
GCH1,0.16031182
GCHFR,0.08847415
UBE2V1,0.1162472
TRAF6,0.66457087
IRAK2,0.093231425
HBEGF,0.07293455
CAPZA2,0.09128385
CAPZB,0.3266735
CAPZA3,0.04526464
CAPZA1,0.36519283
GORASP1,0.18562873
GOLGA2,0.2743432
TGFBR1,0.8478182
FKBP1A,0.15161383
RASGRF2,0.08456317
RASGRF1,0.54254526
GRIA2,0.29092515
GRIA1,0.471132
TYK2,0.82392025
IFNAR1,0.39631796
TFB2M,0.037516814
POLRMT,0.03329811
