Gene,Score
STIM1,0.02517491
TRPC1,0.29696572
NOS1,0.051305015
ATP2B4,0.15832779
ABCC9,0.05600667
KCNJ11,0.0071827383
HADHA,0.05876055
HADHB,0.009101127
GTF2E2,0.0229449
GTF2E1,0.019506887
GTF2A2,0.024512334
GTF2A1,0.0626453
VANGL2,0.12951244
SCRIB,0.2994007
DVL2,0.057677582
PARD6A,0.39879286
GRB2,0.17741078
GAB1,0.7739986
EGFR,0.9914015
EGF,0.15232648
PIK3CA,0.9997241
PIK3R1,0.13402703
SRC,0.9083207
PXN,0.35754398
CLPS,0.0017263095
PNLIP,0.006899217
GNB1,0.00769718
GNGT1,0.017246496
CNGA1,0.007820853
CNGB1,0.009993227
FNTB,0.01487419
FNTA,0.0167692
RAD50,0.019691642
MRE11,0.10089579
KPNA2,0.46351734
NBN,0.026445411
KAT5,0.0040823855
ATM,0.09336326
BAZ1B,0.07679385
SMARCA5,0.008151936
UBE2I,0.8210417
SUMO1,0.47074616
UBE2V2,0.0043297173
UBE2N,0.06032456
BARD1,0.0071245045
BRCA1,0.99886864
SUMO2,0.022051342
MDC1,0.09195304
HERC2,0.0054183383
ATRIP,0.016830824
ATR,0.047386285
TIMELESS,0.002245109
TIPIN,0.0039607463
PPP4R2,0.002716003
PPP4C,0.009516011
RAD51C,0.00016810832
XRCC3,0.0021188306
EME2,0.0065590893
MUS81,0.009014033
EME1,0.014683525
BRCA2,0.012463355
RAD51,0.00076314615
ERCC4,0.047427207
ERCC1,0.013812684
XRCC1,0.0056074723
LIG3,0.036004003
XRCC6,0.3787848
XRCC5,0.086848
XRCC4,0.010303627
LIG4,0.0033191799
HEXB,0.00625545
HEXA,0.020269847
EXT2,0.0009848253
EXT1,0.016290408
SOS1,0.110315055
CDK1,0.10358287
CCNB1,0.04507085
PCF11,0.019360552
CLP1,0.013460473
TEAD1,0.024397513
YAP1,0.9413892
TEAD2,0.66201496
TEAD3,0.0078088325
TEAD4,0.009197325
CDK8,0.087287694
CCNC,0.013073738
SMAD7,0.8548058
RNF111,0.094642185
PTEN,0.4566009
TP53,0.96902454
TSC1,0.029699063
TSC2,0.13298465
SCO2,0.0011714101
RRM2B,0.024438439
GLS2,0.016702048
IGFBP3,0.49540314
PMAIP1,0.011783516
BID,0.16222852
TP53AIP1,0.018448506
ZNF420,0.18540409
STEAP3,0.034246005
BNIP3L,0.0036509337
TRIAP1,0.0019324715
AIFM2,0.009021584
TP53INP1,0.004062533
APAF1,0.009806729
PIDD1,0.018589785
CRADD,0.001007558
NLRC4,0.44633323
CASP6,0.2388174
CASP10,0.057728227
NDRG1,0.047805216
BCL2L14,0.0015579433
BIRC5,0.026461426
BCL6,0.16417256
ZNF385A,0.042809326
ARID3A,0.2672765
E2F7,0.014151535
E2F8,0.008158209
GADD45A,0.08007165
AURKA,0.23799592
PCNA,0.008585761
BAX,0.09308733
SFN,0.059639964
PLK2,0.047378793
PLK3,0.052050594
RGCC,0.13259374
PLAGL1,0.20594606
ATF2,0.34225085
JUN,0.9979963
FOS,0.6330925
PMS2,0.0075936816
MLH1,0.019060353
FANCC,0.032399986
DDB2,0.02341489
PRDM1,0.3778941
MDM2,0.96360815
MDM4,0.17450172
CCNG1,0.0102704195
HIPK2,0.26940504
PIN1,0.034550853
HIPK1,0.28018472
SSRP1,0.0413543
SUPT16H,0.01767739
CSNK2A1,0.16961378
CSNK2A2,0.40207148
TPX2,0.15752967
NOC2L,0.009095655
CDK5R1,0.3160368
CDK5,0.19645385
POU4F1,0.09161869
POU4F2,0.00012987344
BANP,0.027865082
PHF20,0.035828564
L3MBTL1,0.04308043
EHMT2,0.005617857
EHMT1,0.027901711
TFAP2A,0.7484027
DEK,0.009788201
TFAP2C,0.19407289
WWOX,0.010539802
TFAP2B,0.038871292
YEATS4,0.0015206757
ESR1,0.96951497
ATAD2,0.026729897
VEGFA,0.32310024
TGFA,0.09684867
CDKN1A,0.14551522
RUNX1,0.64800394
TP73,0.4525798
ZFPM1,0.017807208
GATA1,0.12326768
CTSK,0.13011597
SERPINB13,0.16589648
CCND1,0.5841794
CDK4,0.22128135
ESRRA,0.22359766
PPARGC1A,0.85123086
TWIST1,0.3372537
RUNX2,0.8413901
NKX3-2,0.18679817
MSX2,0.014334174
SMAD4,0.9993667
SMAD1,0.9412512
RUNX3,0.5587013
