Gene,Score
STIM1,0.06460953
TRPC1,0.18626735
NOS1,0.24582675
ATP2B4,0.10595061
ABCC9,0.07113874
KCNJ11,0.0046117385
HADHA,0.07746307
HADHB,0.014291188
GTF2E2,0.02713458
GTF2E1,0.0840904
GTF2A2,0.028033026
GTF2A1,0.2426611
VANGL2,0.11374176
SCRIB,0.4138475
DVL2,0.7004587
PARD6A,0.3581115
GRB2,0.9984101
GAB1,0.77807444
EGFR,0.99978787
EGF,0.2234798
PIK3CA,0.5926814
PIK3R1,0.9987502
SRC,0.99516124
PXN,0.83511263
CLPS,0.12973575
PNLIP,0.030049108
GNB1,0.017777525
GNGT1,0.08125646
CNGA1,0.06483291
CNGB1,0.02546555
FNTB,0.026955413
FNTA,0.13242826
RAD50,0.07134912
MRE11,0.13049456
KPNA2,0.64145124
NBN,0.24992123
KAT5,0.67994434
ATM,0.9470354
BAZ1B,0.06866785
SMARCA5,0.08029221
UBE2I,0.96475273
SUMO1,0.88375914
UBE2V2,0.09512339
UBE2N,0.033863865
BARD1,0.12028004
BRCA1,0.6005218
SUMO2,0.32953632
MDC1,0.12799332
HERC2,0.0067270915
ATRIP,0.007300901
ATR,0.14133638
TIMELESS,0.021454329
TIPIN,0.046849832
PPP4R2,0.01038777
PPP4C,0.08509965
RAD51C,0.009840607
XRCC3,0.014203219
EME2,0.023286436
MUS81,0.09907763
EME1,0.022232538
BRCA2,0.1395679
RAD51,0.40409017
ERCC4,0.12115512
ERCC1,0.03817044
XRCC1,0.044317074
LIG3,0.025938315
XRCC6,0.57978535
XRCC5,0.61808115
XRCC4,0.03358611
LIG4,0.08048516
HEXB,0.011926715
HEXA,0.015317353
EXT2,0.014349043
EXT1,0.038821958
SOS1,0.5181566
CDK1,0.46241054
CCNB1,0.019199789
PCF11,0.021982582
CLP1,0.0147337355
TEAD1,0.17930728
YAP1,0.866802
TEAD2,0.51199895
TEAD3,0.06656898
TEAD4,0.09213545
CDK8,0.5374744
CCNC,0.13928963
SMAD7,0.84385425
RNF111,0.21489696
PTEN,0.57189673
TP53,1.0
TSC1,0.28909856
TSC2,0.38537902
SCO2,0.0037581855
RRM2B,0.03164466
GLS2,0.09807272
IGFBP3,0.20853494
PMAIP1,0.035028387
BID,0.5736256
TP53AIP1,0.057489738
ZNF420,0.09045207
STEAP3,0.0055699567
BNIP3L,0.018248823
TRIAP1,0.012719205
AIFM2,0.012545016
TP53INP1,0.12516074
APAF1,0.15787455
PIDD1,0.04025134
CRADD,0.011703958
NLRC4,0.07779927
CASP6,0.36607605
CASP10,0.35933107
NDRG1,0.10062296
BCL2L14,0.017169883
BIRC5,0.30284253
BCL6,0.563934
ZNF385A,0.12018691
ARID3A,0.231295
E2F7,0.040651713
E2F8,0.04504067
