Gene,Score
STIM1,0.0017943239
TRPC1,0.38883787
NOS1,0.8728045
ATP2B4,0.0071714064
ABCC9,0.005120189
KCNJ11,0.005650014
HADHA,0.07704952
HADHB,0.0016908683
GTF2E2,0.00017805946
GTF2E1,0.09118584
GTF2A2,0.011551735
GTF2A1,0.17185435
VANGL2,0.01375923
SCRIB,0.06735566
DVL2,0.017705347
PARD6A,0.11027908
GRB2,0.88911086
GAB1,0.0695328
EGFR,0.4168958
EGF,0.021575501
PIK3CA,0.32804227
PIK3R1,0.014511161
SRC,0.036525324
PXN,0.2548918
CLPS,0.00061794906
PNLIP,0.005414657
GNB1,0.35006997
GNGT1,0.02979837
CNGA1,0.04652801
CNGB1,3.942069e-06
FNTB,0.0239112
FNTA,0.015609968
RAD50,0.04418359
MRE11,0.02560756
KPNA2,0.10783441
NBN,0.0059912927
KAT5,0.02876854
ATM,0.95338786
BAZ1B,0.06735461
SMARCA5,0.09005032
UBE2I,0.41260225
SUMO1,0.06271781
UBE2V2,0.004761936
UBE2N,0.0011988734
BARD1,0.0007164597
BRCA1,0.78199255
SUMO2,0.0057966374
MDC1,0.07573842
HERC2,0.0024241784
ATRIP,0.0006259051
ATR,0.02797598
TIMELESS,0.007231487
TIPIN,0.008358489
PPP4R2,0.000140871
PPP4C,0.0036023518
RAD51C,0.0013501516
XRCC3,0.03950058
EME2,0.000767668
MUS81,0.019259332
EME1,0.0036994275
BRCA2,0.038653336
RAD51,0.072533734
ERCC4,0.010755488
ERCC1,0.14180309
XRCC1,0.02950005
LIG3,0.028296823
XRCC6,0.89346737
XRCC5,0.06519113
XRCC4,0.026182193
LIG4,0.0050244625
HEXB,0.0010993917
HEXA,0.005741992
EXT2,0.0027879477
EXT1,0.0039362763
SOS1,0.062484507
CDK1,0.7869855
CCNB1,0.3232934
PCF11,0.023927731
CLP1,0.0004705433
TEAD1,0.014909004
YAP1,0.18521814
TEAD2,0.41835874
TEAD3,0.011183297
TEAD4,0.0054098805
CDK8,0.02675716
CCNC,6.0067756e-05
SMAD7,0.8535547
RNF111,0.1234147
PTEN,0.37082064
TP53,0.32806748
TSC1,0.5376294
TSC2,0.73952734
SCO2,4.4967772e-05
RRM2B,0.017560966
GLS2,0.009694706
IGFBP3,0.0060309833
PMAIP1,0.037098795
BID,0.45820218
TP53AIP1,0.008414505
ZNF420,0.0044656657
STEAP3,0.00069213717
BNIP3L,0.0076713935
TRIAP1,0.00021069252
AIFM2,0.0046812138
TP53INP1,0.011459594
APAF1,0.002043284
PIDD1,0.002805482
CRADD,0.0031995485
NLRC4,0.12137951
CASP6,0.12975103
CASP10,0.12518913
NDRG1,0.045826904
BCL2L14,0.0028621543
BIRC5,0.1538063
BCL6,0.0016000301
ZNF385A,0.0033473996
ARID3A,0.027603095
E2F7,0.03213261
E2F8,0.0017632708
GADD45A,0.007755636
AURKA,0.45138693
PCNA,0.029812127
BAX,0.11833536
SFN,0.36934915
PLK2,0.13044286
PLK3,0.10783503
RGCC,0.12251326
PLAGL1,0.009499629
ATF2,0.6367236
JUN,0.23870912
FOS,0.0852819
PMS2,0.040574796
MLH1,0.0013121214
FANCC,0.00708098
DDB2,0.0019873457
PRDM1,0.049541313
MDM2,0.19616629
MDM4,0.11194518
CCNG1,0.0859119
HIPK2,0.10536748
PIN1,0.0013838446
HIPK1,0.0027950197
SSRP1,0.010875761
