Gene,Score
STIM1,1.040925e-07
TRPC1,0.0025825275
NOS1,0.06554195
ATP2B4,0.0028855144
ABCC9,1.1249155e-06
KCNJ11,0.00018766693
HADHA,0.012795806
HADHB,0.00074692705
GTF2E2,1.3864669e-06
GTF2E1,0.0016182208
GTF2A2,0.0032868641
GTF2A1,0.010161871
VANGL2,0.0033359444
SCRIB,0.0024071054
DVL2,0.056243557
PARD6A,0.0027918238
GRB2,0.89664
GAB1,0.14586952
EGFR,0.9958385
EGF,0.010598243
PIK3CA,0.6623589
PIK3R1,0.9940977
SRC,0.058706477
PXN,0.48785782
CLPS,0.0003017825
PNLIP,3.6410627e-05
GNB1,0.06558609
GNGT1,0.011226565
CNGA1,4.820376e-05
CNGB1,5.2892476e-05
FNTB,0.003939237
FNTA,0.003227963
RAD50,0.0030479333
MRE11,0.0061156796
KPNA2,0.21254589
NBN,0.01850848
KAT5,0.012428887
ATM,0.03977412
BAZ1B,0.008188758
SMARCA5,0.047955163
UBE2I,0.99738604
SUMO1,0.6136885
UBE2V2,0.0010146551
UBE2N,0.008853858
BARD1,0.00086515787
BRCA1,0.7917176
SUMO2,0.006108223
MDC1,0.012642942
HERC2,0.9941963
ATRIP,0.00012683206
ATR,0.00028521157
TIMELESS,0.017916597
TIPIN,0.0032124096
PPP4R2,0.0001148994
PPP4C,0.00049849524
RAD51C,0.0001284649
XRCC3,0.00033842324
EME2,0.00011502975
MUS81,0.001644978
EME1,0.0002665597
BRCA2,0.00010506155
RAD51,0.011869956
ERCC4,0.002422076
ERCC1,0.002565058
XRCC1,0.009787655
LIG3,0.043536182
XRCC6,0.00027758704
XRCC5,0.008248645
XRCC4,0.0027615486
LIG4,0.000912479
HEXB,0.00085356773
HEXA,0.00021650028
EXT2,0.00025370004
EXT1,0.0013671968
SOS1,0.05194912
CDK1,0.019734357
CCNB1,0.028277364
PCF11,0.0018171152
CLP1,2.2979275e-05
TEAD1,0.0037572712
YAP1,0.0036269906
TEAD2,0.013375509
TEAD3,0.0006617271
TEAD4,0.01077941
CDK8,0.04383749
CCNC,0.0127873225
SMAD7,0.20400359
RNF111,0.02482117
PTEN,0.7759778
TP53,0.99981815
TSC1,0.9205444
TSC2,0.97812
SCO2,9.1612994e-05
RRM2B,0.000726266
GLS2,0.00013399629
IGFBP3,0.008361462
PMAIP1,0.0033108487
BID,0.25615805
TP53AIP1,0.0016089751
ZNF420,0.0011955855
STEAP3,0.00072280085
BNIP3L,0.0031556408
TRIAP1,0.00064489624
AIFM2,0.00011144651
TP53INP1,9.0443145e-06
APAF1,0.0033768145
PIDD1,0.3351474
CRADD,8.152213e-05
NLRC4,0.00036872513
CASP6,0.0037590656
CASP10,0.020450216
NDRG1,0.005037373
BCL2L14,5.68237e-06
BIRC5,0.0377188
BCL6,0.03363995
ZNF385A,0.0030548817
ARID3A,0.00196885
E2F7,0.0043540043
E2F8,0.0034457895
GADD45A,0.022651242
AURKA,0.011010076
PCNA,0.007598829
BAX,0.009309648
SFN,0.00046724296
PLK2,0.0053510037
PLK3,0.007776527
RGCC,0.0008507703
PLAGL1,0.0055656293
ATF2,0.055686574
JUN,0.6243368
FOS,0.5029353
PMS2,0.0125892395
MLH1,0.019288797
FANCC,0.0020027473
DDB2,0.046225403
PRDM1,0.021148786
MDM2,0.80553895
MDM4,0.10238391
CCNG1,0.00056515745
HIPK2,0.06943193
PIN1,0.023800556
HIPK1,0.0017728251
SSRP1,0.011489163
SUPT16H,0.003394034
CSNK2A1,0.99981374
CSNK2A2,0.028404867
TPX2,0.0035430472
NOC2L,7.5571596e-05
CDK5R1,0.001564724
CDK5,0.19495755
POU4F1,0.0011614359
POU4F2,2.7656685e-07
BANP,0.00019220696
PHF20,0.007031467
L3MBTL1,0.07119522
EHMT2,0.0031395108
EHMT1,0.0057696616
TFAP2A,0.06076702
DEK,0.05149384
TFAP2C,0.0032531687
WWOX,0.0002758274
TFAP2B,8.248913e-05
YEATS4,0.013342694
ESR1,0.999701
ATAD2,0.0055874977
VEGFA,0.022273764
TGFA,0.002037882
CDKN1A,0.307886
RUNX1,0.07604736
TP73,0.017441064
ZFPM1,0.00046418054
GATA1,0.00091406656
CTSK,0.023560869
SERPINB13,7.668198e-05
CCND1,0.061855897
CDK4,0.31261507
ESRRA,0.08646902
PPARGC1A,0.061830606
TWIST1,0.01071624
RUNX2,0.0009478376
NKX3-2,0.009012209
MSX2,0.0007446745
SMAD4,0.0019086184
SMAD1,0.0020272783
RUNX3,0.009124284
SMAD3,0.9990294
TFDP1,0.002573694
E2F6,0.0021526436
TFDP2,0.0038823034
MGA,0.031856686
MAX,0.018795772
SUPT4H1,0.0028390181
SUPT5H,0.014265028
ELOB,0.08797276
ELOC,0.029690156
GTF2F1,0.018688811
GTF2F2,0.06344253
NCBP2,0.0019326259
NCBP1,1.3207573e-06
TAP1,1.6570364e-06
TAP2,0.008802418
AMN,6.6888206e-05
CUBN,0.011761283
MMUT,2.4860991e-08
MMAA,0.000876334
FASLG,0.0009769598
FAS,0.027636528
BAG4,0.02689491
TNFRSF1A,0.8418661
TNF,0.082729355
TAX1BP1,0.061931778
TNFAIP3,0.27943417
TNFRSF10A,0.00565582
TNFRSF10D,3.6756505e-06
TNFRSF10B,0.0012227696
NGF,0.000121381134
NGFR,0.007703421
IRAK1,0.14714114
MYD88,0.00020930155
NFKB1,0.24738203
RELA,0.66568655
UBE2B,0.00015828628
RAD18,0.14167807
WDR48,0.01018552
USP1,0.029338673
REV3L,0.024341006
MAD2L2,0.006331654
RCHY1,0.11085949
POLH,0.0012044006
TRIM25,1.8555109e-05
UBE2L6,0.036818452
UBA7,0.0017101257
ISG15,0.0753047
SUMO3,0.069221206
FAAP24,2.5713214e-06
FANCM,1.4375826e-05
CENPX,0.0019534114
CENPS,2.387287e-06
FANCI,0.25749877
FANCD2,0.16007292
PCCA,0.004479621
PCCB,0.010323952
MCCC2,3.6812904e-05
MCCC1,5.971946e-08
CLCF1,6.800185e-08
CRLF1,7.470433e-05
PRKCSH,0.03681162
GANAB,0.0016054208
CALR,0.009089167
CANX,4.89127e-05
RAD51B,1.8126428e-05
NME2,0.0019664753
NME1,0.0009747359
APPL1,0.2278636
DCC,0.00034623794
MAGED1,0.00081744
UNC5A,5.84776e-06
PPP3R1,0.006188712
PPP3CC,0.0004682698
BCL2,0.2045445
BAD,0.010768798
BAK1,0.0006937
CYCS,4.7387638e-07
XIAP,0.13463491
CASP3,0.9059343
CASP7,0.044442326
CASP9,0.8650113
DIABLO,0.0012418465
DFFB,0.00063277857
DFFA,0.0099152895
KPNA1,0.032529872
KPNB1,0.2673362
PAK2,0.027531553
ARHGAP10,0.0046960535
RIPK1,0.1615575
RIPK3,0.16908965
GCH1,0.0044510895
GCHFR,0.003056856
UBE2V1,0.00049400836
TRAF6,0.9997632
IRAK2,0.027584318
HBEGF,0.0009170417
CAPZA2,0.57216537
CAPZB,0.007468529
CAPZA3,6.57367e-05
CAPZA1,0.0914707
GORASP1,0.0011069936
GOLGA2,0.011161846
TGFBR1,0.3830597
FKBP1A,0.0028645028
RASGRF2,0.007735351
RASGRF1,0.043065246
GRIA2,0.003578852
GRIA1,0.0014199141
TYK2,0.044788584
IFNAR1,0.020617455
TFB2M,0.00028194964
POLRMT,0.0011809877
DGCR8,0.00042942434
DROSHA,0.023596855
TSNAX,0.0025397202
TSN,0.00029688943
BAZ2A,0.001707682
DNMT3A,0.09479699
DNMT3L,0.007109759
DNMT3B,0.013236566
CUL1,0.9999856
CAND1,0.0001626483
TFRC,0.0003047957
HFE,0.00031998847
TF,0.020311069
HSD17B8,2.4925955e-06
CBR4,1.4227735e-05
CCNB2,0.004319078
SBF1,0.039500844
MTMR2,0.0001622513
MTMR7,0.00043704518
MTMR9,0.0023895781
PIK3CB,0.009596972
PIK3R2,0.2584492
PIK3CD,0.006334676
PIK3R3,0.22292939
PIK3R5,0.00011132353
PIK3CG,0.018778648
PLEKHA2,2.8988796e-05
PTPN13,0.0007272623
PLEKHA1,0.0006504299
MTMR6,0.0034154658
SBF2,0.01617003
MTM1,0.0003616883
MTMR12,2.3812067e-06
GAB2,0.034154348
ITPR1,0.028173916
MRVI1,9.4502255e-05
PTPN6,0.095286116
PECAM1,0.061567195
PTPN11,0.036545023
IL6R,0.0065559265
IL6,0.0024776668
STAT1,0.27249083
STAT3,0.30508292
KDR,0.055755157
HRG,0.00073247583
PLG,0.033011265
ANXA2,0.0179331
S100A10,0.0028189698
SERPINF2,0.0017687145
PLAU,0.022191893
PLAUR,1.0678601e-05
ATP7A,0.020263653
PDZD11,0.0004972334
CLCN7,0.0014074678
OSTM1,0.00025306176
TXN,0.000100907426
TXNIP,0.02618893
NLRP3,0.08930721
MEFV,0.0021722482
PSTPIP1,0.0027303472
PYCARD,0.0821503
CGA,3.0465026e-06
LHB,0.0040430916
AVPR2,0.003998747
AVP,0.0025335432
GCG,0.0012639
GCGR,9.041134e-05
RAMP3,0.0034264876
CALCR,0.0012922776
RAMP1,3.7810132e-05
TSHB,0.00029210185
GPHB5,1.3961254e-05
GPHA2,0.0013068328
CALCRL,1.3786948e-05
RAMP2,1.2262515e-06
GLP2R,3.1414645e-06
FSHB,2.0543255e-05
ITGAV,0.04265974
ITGB5,0.017511338
STX4,0.00013247304
SEC22B,1.8610349e-06
GLI3,0.0015640158
PTCH1,0.008296556
GLI1,0.2274752
GLI2,0.0042472943
SUFU,0.00046987258
NUMB,0.08543641
ITCH,0.15247802
ABHD5,0.0005711412
PLIN1,0.0008205828
LIPE,6.77665e-05
FABP4,0.00057610444
KCNJ16,4.2659507e-05
KCNJ15,0.003549772
KCNJ10,0.00028699686
CXCL16,0.00012416355
CXCR6,3.8792143e-07
C5AR1,0.043598037
C5,0.01809418
CX3CL1,0.0007887107
CX3CR1,0.0051921434
TAS1R2,4.66189e-06
TAS1R3,2.0807684e-06
TAS1R1,4.5017372e-05
GABBR2,0.002503632
GABBR1,0.0015650078
IL10RB,5.188968e-05
GABPB1,0.0005986132
GABPA,0.0027239046
TNPO1,0.000623552
KIF17,0.0025316677
GSTA1,1.6787769e-06
GSTA2,0.0001838021
GCLC,0.0001422695
GCLM,0.0047849696
INS,0.0011428475
INSR,0.19869646
ABCD2,0.0013020136
ABCD1,0.0020629938
ABCD3,0.002735041
ABCG5,1.8512635e-06
ABCG8,0.0048314887
CHRNB2,1.1978951e-09
CHRNA4,0.0015407461
CHRNA3,6.3464e-05
CHRNB4,5.596492e-05
FOXM1,0.04913511
PLK1,0.09607439
CENPF,0.023813339
TACR1,0.0017982911
TAC1,0.0133060645
TACR2,2.3404618e-05
OXTR,4.4925255e-05
OXT,0.023048263
CRH,0.0005567555
CRHBP,0.00043969162
ADGRE5,0.00091244373
CD55,0.00013282493
CBY1,1.32380155e-05
CTNNB1,0.94440705
CTNNBIP1,0.004725067
CHD8,0.11627764
MCFD2,0.0021607094
LMAN1,0.00012558037
TMED10,0.00032414214
TMED2,1.8530352e-05
CD4,0.00262137
LCK,0.3815481
RAB3GAP1,0.0111241685
RAB3GAP2,0.0185265
NTRK2,0.29378214
BDNF,0.04420187
NTF4,0.002388736
IL2RB,0.027238503
JAK1,0.4087622
JAK3,0.013853833
IL2RG,0.0033333802
PTK2B,0.11935197
EBI3,0.00010718918
IL27,3.9905692e-07
NECTIN1,0.021653438
NECTIN3,0.0026809105
NECTIN4,0.0061905375
NECTIN2,0.00010734434
PVR,0.0101181315
IL12B,1.14157565e-05
IL12A,1.20679715e-05
IL12RB1,0.020451358
IL12RB2,0.000469311
JAK2,0.43494985
TLR2,0.037171703
TLR1,0.014971369
TLR6,0.0016258059
RBPJ,0.009340995
SNW1,0.0009446583
NOTCH1,0.030983688
HIF1A,0.42081082
JAG1,0.00043017042
JAG2,0.007772838
CBL,0.9817123
NCAM1,0.026717298
NCAN,0.0075696474
COL4A2,0.00013754179
COL4A1,0.16339788
HLA-C,0.00016658207
B2M,0.003262535
KIR2DS5,1.9875592e-05
TYROBP,0.00035764577
CLEC5A,1.3487167e-05
NCR2,2.3195328e-07
SIRPB1,2.4087882e-07
TREM1,0.002867644
