Gene,Score
STIM1,0.031321798
TRPC1,0.03469579
NOS1,0.32256326
ATP2B4,0.04541499
ABCC9,0.007951991
KCNJ11,0.06319465
HADHA,0.06541231
HADHB,0.0007210922
GTF2E2,0.018622108
GTF2E1,0.013830576
GTF2A2,0.030681109
GTF2A1,0.08454384
VANGL2,0.020708306
SCRIB,0.08996641
DVL2,0.40875366
PARD6A,0.05607746
GRB2,0.15522164
GAB1,0.09082896
EGFR,0.19974332
EGF,0.13972273
PIK3CA,0.8667276
PIK3R1,0.90506643
SRC,0.95025265
PXN,0.7287057
CLPS,0.007020592
PNLIP,0.0196017
GNB1,0.18672575
GNGT1,0.036764763
CNGA1,0.03195818
CNGB1,0.006527637
FNTB,0.029720975
FNTA,0.20517619
RAD50,0.060506824
MRE11,0.16558126
KPNA2,0.3750402
NBN,0.032835655
KAT5,0.5078107
ATM,0.2041168
BAZ1B,0.18464157
SMARCA5,0.27873933
UBE2I,0.9615826
SUMO1,0.78188986
UBE2V2,0.015204677
UBE2N,0.030237008
BARD1,0.067964956
BRCA1,0.97660303
SUMO2,0.10852893
MDC1,0.36848462
HERC2,0.13529854
ATRIP,0.004055376
ATR,0.32543057
TIMELESS,0.020559695
TIPIN,0.02925667
PPP4R2,0.0044077104
PPP4C,0.015088584
RAD51C,0.0133989295
XRCC3,0.0035115816
EME2,0.021862004
MUS81,0.096753
EME1,0.005361223
BRCA2,0.5795055
RAD51,0.033512235
ERCC4,0.03731546
ERCC1,0.025826318
XRCC1,0.099078834
LIG3,0.3087118
XRCC6,0.8411179
XRCC5,0.6399307
XRCC4,0.0015072634
LIG4,0.010600668
HEXB,0.0015558618
HEXA,0.01706351
EXT2,0.047062058
EXT1,0.005053729
SOS1,0.29779252
CDK1,0.7290321
CCNB1,0.09704422
PCF11,0.0072295666
CLP1,0.002882133
TEAD1,0.039718673
YAP1,0.13437867
TEAD2,0.004659772
TEAD3,0.021930145
TEAD4,0.0010546568
CDK8,0.1084099
CCNC,0.0009582763
SMAD7,0.91788954
RNF111,0.17421447
PTEN,0.5478119
TP53,0.99998486
TSC1,0.70606154
TSC2,0.8798751
SCO2,0.00015139146
RRM2B,0.02152445
GLS2,0.02578928
IGFBP3,0.09427863
PMAIP1,0.0134705575
BID,0.24077329
TP53AIP1,0.010168472
ZNF420,0.0135567095
STEAP3,0.007909416
BNIP3L,0.0360452
TRIAP1,0.0018056812
AIFM2,0.0056763934
TP53INP1,0.028999671
APAF1,0.011208641
PIDD1,0.0028498024
CRADD,0.015507141
NLRC4,0.05403834
CASP6,0.20255801
CASP10,0.43656814
NDRG1,0.23768266
BCL2L14,0.006610688
BIRC5,0.14201744
BCL6,0.17926759
ZNF385A,0.0032949175
ARID3A,0.057166133
E2F7,0.13634415
E2F8,0.02721406
GADD45A,0.65864116
AURKA,0.135329
PCNA,0.18971539
BAX,0.3634055
SFN,0.53726673
PLK2,0.048108455
PLK3,0.10426477
RGCC,0.044685014
PLAGL1,0.39091823
ATF2,0.87174165
JUN,0.7919844
FOS,0.8990612
PMS2,0.02095406
MLH1,0.013667951
FANCC,0.032832988
DDB2,0.0830619
PRDM1,0.2811645
MDM2,0.8673007
MDM4,0.5492283
CCNG1,0.0048498856
HIPK2,0.341652
PIN1,0.0048753624
HIPK1,0.055886444
SSRP1,0.13262302
SUPT16H,0.3622887
CSNK2A1,0.34869906
CSNK2A2,0.3857945
TPX2,0.22212243
NOC2L,0.0010261275
CDK5R1,0.14575246
CDK5,0.2696909
POU4F1,0.028755484
POU4F2,1.3517736e-05
BANP,0.0043606013
PHF20,0.051393364
L3MBTL1,0.10912726
EHMT2,0.047763992
EHMT1,0.18570577
TFAP2A,0.8534882
DEK,0.13808946
TFAP2C,0.1849998
WWOX,0.021807887
TFAP2B,0.34582746
YEATS4,0.013590316
ESR1,0.73973435
ATAD2,0.5864313
VEGFA,0.16416277
TGFA,0.04274659
CDKN1A,0.8210917
RUNX1,0.6431856
TP73,0.67443645
ZFPM1,0.03675775
GATA1,0.12805241
CTSK,0.059822433
SERPINB13,0.05705484
CCND1,0.809467
CDK4,0.97561556
ESRRA,0.6650261
PPARGC1A,0.76238173
TWIST1,0.33842248
RUNX2,0.8428054
NKX3-2,0.13670415
MSX2,0.032430347
SMAD4,0.7763575
SMAD1,0.49850234
RUNX3,0.2755454
SMAD3,0.017666148
TFDP1,0.07188312
E2F6,0.036219433
TFDP2,0.059726167
MGA,0.028275765
MAX,0.46779606
SUPT4H1,0.024028605
SUPT5H,0.101612024
ELOB,0.009907695
ELOC,0.11433698
GTF2F1,0.044432826
GTF2F2,0.1284753
NCBP2,0.0044957176
NCBP1,0.00406767
TAP1,0.12509373
TAP2,0.009166037
AMN,0.016403718
CUBN,0.036305804
MMUT,0.0005891881
MMAA,0.01348401
FASLG,0.42802393
FAS,0.58389896
BAG4,0.05910895
TNFRSF1A,0.5476178
TNF,0.1480441
TAX1BP1,0.014147139
TNFAIP3,0.40395257
TNFRSF10A,0.12053404
TNFRSF10D,0.0012107977
TNFRSF10B,0.2467798
NGF,0.011627495
NGFR,0.31904146
IRAK1,0.6847045
MYD88,0.5027871
NFKB1,0.9354955
RELA,0.97310424
UBE2B,0.018772267
RAD18,0.092456475
WDR48,0.03628176
USP1,0.05433344
REV3L,0.116844855
MAD2L2,0.012012743
RCHY1,0.4208403
POLH,0.0057239225
TRIM25,0.036727123
UBE2L6,0.05983295
UBA7,0.051599182
ISG15,0.015558087
SUMO3,0.25889215
FAAP24,0.00867626
FANCM,0.009461139
CENPX,0.016886193
CENPS,0.010230983
FANCI,0.012297595
FANCD2,0.09994827
PCCA,0.045387916
PCCB,0.00022190057
MCCC2,0.018750958
MCCC1,0.021032475
CLCF1,0.004519009
CRLF1,0.0007435416
PRKCSH,0.03509583
GANAB,0.19438346
CALR,0.69904715
CANX,0.0694909
RAD51B,0.041914225
NME2,0.004119138
NME1,0.053011857
APPL1,0.18027143
DCC,0.62519
MAGED1,0.0027630238
UNC5A,0.026234018
PPP3R1,0.20778093
PPP3CC,0.107097335
BCL2,0.563064
BAD,0.07769489
BAK1,0.05234165
CYCS,0.026066974
XIAP,0.32842565
CASP3,0.8178788
CASP7,0.08384173
CASP9,0.44347078
DIABLO,0.07365552
DFFB,0.08811118
DFFA,0.0038472647
KPNA1,0.48843482
KPNB1,0.36548725
PAK2,0.2876777
ARHGAP10,0.05208368
RIPK1,0.33343446
RIPK3,0.36224034
GCH1,0.056049492
GCHFR,0.007420231
UBE2V1,0.084457554
TRAF6,0.09099081
IRAK2,0.051127087
HBEGF,0.014430997
CAPZA2,0.0047670123
CAPZB,0.096217506
CAPZA3,0.012562173
CAPZA1,0.053461995
GORASP1,0.0013031786
GOLGA2,0.001865291
TGFBR1,0.70439476
FKBP1A,0.10460465
RASGRF2,0.031349767
RASGRF1,0.13317133
GRIA2,0.22758509
GRIA1,0.4237627
TYK2,0.62132645
IFNAR1,0.032944296
TFB2M,0.01531788
POLRMT,0.0053200372
DGCR8,0.0014079799
DROSHA,0.021389643
TSNAX,0.00045573278
TSN,0.0024735066
BAZ2A,0.02243137
DNMT3A,0.24644317
DNMT3L,0.31486574
DNMT3B,0.3059111
CUL1,0.15401684
CAND1,0.08195794
TFRC,0.02521556
HFE,0.010852727
TF,0.030985141
HSD17B8,0.011604153
CBR4,0.005148799
CCNB2,0.077360235
SBF1,0.047789723
MTMR2,0.0014116155
MTMR7,0.0073863086
MTMR9,0.003058177
PIK3CB,0.043339726
PIK3R2,0.22185819
PIK3CD,0.059971925
PIK3R3,0.017393911
PIK3R5,0.0115040755
PIK3CG,0.07478986
PLEKHA2,0.0016942014
PTPN13,0.023241729
PLEKHA1,0.007335986
MTMR6,0.0090155965
SBF2,0.0261932
MTM1,0.009488509
MTMR12,0.00041553614
GAB2,0.033184763
ITPR1,0.052634418
MRVI1,0.008037706
PTPN6,0.3954652
PECAM1,0.14927027
PTPN11,0.20578411
IL6R,0.052873403
IL6,0.01682684
STAT1,0.9508792
STAT3,0.9788809
KDR,0.8718104
HRG,0.08301675
PLG,0.070783556
ANXA2,0.048037108
S100A10,0.20271336
SERPINF2,0.0046321866
PLAU,0.017297039
PLAUR,0.020273028
ATP7A,0.005513589
PDZD11,0.0156189455
CLCN7,0.001003207
OSTM1,0.0038893174
TXN,0.11330834
TXNIP,0.2590703
NLRP3,0.029441116
MEFV,0.049591493
PSTPIP1,0.0045902845
PYCARD,0.060483146
CGA,0.0060797837
LHB,0.02237077
AVPR2,0.025401767
AVP,0.0015631574
GCG,0.010859373
GCGR,0.057685006
RAMP3,0.011484592
CALCR,0.010962953
RAMP1,0.018187521
TSHB,0.036642287
GPHB5,0.0010733037
GPHA2,0.00774705
CALCRL,0.008412131
RAMP2,0.0034402562
GLP2R,0.006083378
FSHB,0.010944448
ITGAV,0.54838914
ITGB5,0.015856838
STX4,0.00062672765
SEC22B,0.00013595048
GLI3,0.099199995
PTCH1,0.09464734
GLI1,0.35533163
GLI2,0.08344876
SUFU,0.00337707
NUMB,0.48859242
ITCH,0.5539291
ABHD5,0.008605912
PLIN1,0.04705032
LIPE,0.009107661
FABP4,0.0051902984
KCNJ16,0.0026197534
KCNJ15,0.021209748
KCNJ10,0.028234381
CXCL16,0.010692597
CXCR6,0.0060883155
C5AR1,0.018972082
C5,0.04005596
CX3CL1,0.023824424
CX3CR1,0.02348875
TAS1R2,5.744047e-06
TAS1R3,1.3429797e-06
TAS1R1,0.0013938136
GABBR2,0.01066724
GABBR1,0.039672498
IL10RB,0.004078413
GABPB1,0.11140479
GABPA,0.3376087
