Gene,Score
STIM1,0.15660612
TRPC1,0.6625163
NOS1,0.3783304
ATP2B4,0.30938017
ABCC9,0.08193246
KCNJ11,0.14442758
HADHA,0.104603365
HADHB,0.075486146
GTF2E2,0.043939866
GTF2E1,0.11819867
GTF2A2,0.063953444
GTF2A1,0.12824887
VANGL2,0.4342277
SCRIB,0.7487045
DVL2,0.22734691
PARD6A,0.3954987
GRB2,0.69646347
GAB1,0.5933979
EGFR,0.99919385
EGF,0.4873644
PIK3CA,0.9264665
PIK3R1,0.9812298
SRC,0.9272396
PXN,0.59513986
CLPS,0.021552848
PNLIP,0.02991588
GNB1,0.32595116
GNGT1,0.02875422
CNGA1,0.008713361
CNGB1,0.0028535759
FNTB,0.07031772
FNTA,0.06348837
RAD50,0.24647027
MRE11,0.23049563
KPNA2,0.2806465
NBN,0.10309299
KAT5,0.4712554
ATM,0.67610943
BAZ1B,0.30677333
SMARCA5,0.15779391
UBE2I,0.473231
SUMO1,0.6150827
UBE2V2,0.019340277
UBE2N,0.21493474
BARD1,0.28260416
BRCA1,0.97662306
SUMO2,0.26693186
MDC1,0.16617402
HERC2,0.045851026
ATRIP,0.08659183
ATR,0.59930557
TIMELESS,0.04167705
TIPIN,0.03128187
PPP4R2,0.021690415
PPP4C,0.07154712
RAD51C,0.006049323
XRCC3,0.011689274
EME2,0.014798361
MUS81,0.04727722
EME1,0.04908939
BRCA2,0.60669273
RAD51,0.15180825
ERCC4,0.06199887
ERCC1,0.10609043
XRCC1,0.032246716
LIG3,0.10061463
XRCC6,0.22323814
XRCC5,0.21499187
XRCC4,0.016607983
LIG4,0.01695358
HEXB,0.04080517
HEXA,0.17036991
EXT2,0.08762271
EXT1,0.041273925
SOS1,0.5886587
CDK1,0.73522407
CCNB1,0.24848841
PCF11,0.060937993
CLP1,0.021929858
TEAD1,0.45717284
YAP1,0.39975914
TEAD2,0.80554837
TEAD3,0.013596449
TEAD4,0.072209634
CDK8,0.30053163
CCNC,0.041556098
SMAD7,0.64201313
RNF111,0.38927382
PTEN,0.7627265
TP53,0.9756032
TSC1,0.1886253
TSC2,0.53310007
SCO2,0.00026888144
RRM2B,0.09764863
GLS2,0.05366409
IGFBP3,0.10274706
PMAIP1,0.013863055
BID,0.34223884
TP53AIP1,0.0110072
ZNF420,0.056262076
STEAP3,0.06298353
BNIP3L,0.069806464
TRIAP1,0.0047963685
AIFM2,0.007342316
TP53INP1,0.034120597
APAF1,0.032371007
PIDD1,0.06472013
CRADD,0.0144561445
NLRC4,0.017474819
CASP6,0.13462587
CASP10,0.41033384
NDRG1,0.18704349
BCL2L14,0.075832896
BIRC5,0.40381396
BCL6,0.35988104
