Gene,Score
STIM1,0.00012163047
TRPC1,0.0074031474
NOS1,0.5847598
ATP2B4,0.0005128031
ABCC9,0.00025504967
KCNJ11,0.00010869212
HADHA,0.00488669
HADHB,0.010108821
GTF2E2,0.00019557045
GTF2E1,0.004997592
GTF2A2,0.003693562
GTF2A1,0.2208385
VANGL2,0.011917627
SCRIB,0.13521461
DVL2,0.026837455
PARD6A,0.016021771
GRB2,0.5218996
GAB1,0.06449798
EGFR,0.007429016
EGF,0.0373632
PIK3CA,0.97361475
PIK3R1,0.12225912
SRC,0.9846319
PXN,0.28623617
CLPS,3.2341697e-05
PNLIP,0.024273477
GNB1,0.13663134
GNGT1,0.02483903
CNGA1,0.0005366783
CNGB1,0.0014978879
FNTB,0.00913637
FNTA,0.013858746
RAD50,0.001547914
MRE11,0.0062636277
KPNA2,0.11971885
NBN,0.012968286
KAT5,0.0048494167
ATM,0.009772242
BAZ1B,0.0016888162
SMARCA5,0.014296898
UBE2I,0.7886979
SUMO1,0.3076955
UBE2V2,0.0030364045
UBE2N,0.030346269
BARD1,0.0011631205
BRCA1,0.5627656
SUMO2,0.00064153806
MDC1,0.0076167933
HERC2,0.00056750985
ATRIP,0.00015890069
ATR,0.10806501
TIMELESS,0.0011116978
TIPIN,0.0016999713
PPP4R2,0.00047283998
PPP4C,0.017950365
RAD51C,8.112421e-05
XRCC3,1.5458658e-05
EME2,0.00035261217
MUS81,0.00080151897
EME1,0.001930147
BRCA2,0.013459801
RAD51,0.0014941031
ERCC4,0.001323328
ERCC1,0.021317165
XRCC1,0.00022812051
LIG3,0.0005237987
XRCC6,0.014102663
XRCC5,0.0028862841
XRCC4,0.0013120077
LIG4,0.0017592536
HEXB,0.00048278458
HEXA,0.03662011
EXT2,0.07094165
EXT1,0.003296495
SOS1,0.013902712
CDK1,0.04204484
CCNB1,0.538839
PCF11,0.21483669
CLP1,0.0062546055
TEAD1,0.01061712
YAP1,0.0064454214
TEAD2,0.024153186
TEAD3,0.0025826995
TEAD4,0.020925915
CDK8,0.016964303
CCNC,0.0075299777
SMAD7,0.25583884
RNF111,0.07807743
PTEN,0.99103045
TP53,0.9806825
TSC1,0.14471681
TSC2,0.5510455
SCO2,6.0589085e-05
RRM2B,0.00561717
GLS2,0.00040361373
IGFBP3,0.0037916126
PMAIP1,0.000894862
BID,0.03445466
TP53AIP1,0.0021028107
ZNF420,0.02473546
STEAP3,0.00033003723
BNIP3L,0.0002561959
TRIAP1,0.00057776016
AIFM2,0.0026018315
TP53INP1,0.005629878
APAF1,0.15745264
PIDD1,0.0014214768
CRADD,0.0033283937
NLRC4,0.40949994
CASP6,0.07077801
CASP10,0.6583112
NDRG1,0.0791035
BCL2L14,4.007829e-05
BIRC5,0.11854789
BCL6,0.36203134
ZNF385A,0.002567587
ARID3A,0.0054019834
E2F7,0.006596989
E2F8,0.060529485
GADD45A,0.16826908
AURKA,0.18377237
PCNA,0.021060338
BAX,0.0064252927
SFN,0.9478352
PLK2,0.013648917
PLK3,0.0062112007
RGCC,0.043986604
PLAGL1,0.1241571
ATF2,0.55085564
JUN,0.5188297
FOS,0.7037557
PMS2,0.0007542727
MLH1,0.00044157903
FANCC,0.029553665
DDB2,0.019184839
PRDM1,0.54760325
MDM2,0.54526067
MDM4,0.66432095
CCNG1,0.06102763
HIPK2,0.45436686
PIN1,0.1733668
HIPK1,0.0066647846
SSRP1,0.0023228342
SUPT16H,0.00011666931
CSNK2A1,0.82666254
CSNK2A2,0.0048242104
TPX2,0.024403771
NOC2L,0.0010880666
CDK5R1,0.027045941
CDK5,0.021773402
POU4F1,0.00332493
POU4F2,2.2864647e-06
BANP,0.0027808163
PHF20,0.004774114
L3MBTL1,0.021597562
EHMT2,0.0017817399
EHMT1,0.023770954
TFAP2A,0.7677869
DEK,0.0048073223
TFAP2C,0.09857569
WWOX,6.0059456e-06
TFAP2B,0.005206366
YEATS4,0.0015788843
ESR1,0.2564854
ATAD2,0.003832498
VEGFA,0.010342648
TGFA,0.32413733
CDKN1A,0.03658186
RUNX1,0.34417778
TP73,0.8423408
ZFPM1,0.037884507
GATA1,0.0042713135
CTSK,0.0012266214
SERPINB13,0.0025946912
CCND1,0.93514
CDK4,0.755386
ESRRA,0.00988238
PPARGC1A,0.64720446
TWIST1,0.7805833
RUNX2,0.37227064
NKX3-2,0.37854415
MSX2,0.008413184
SMAD4,0.88232374
SMAD1,0.10507128
RUNX3,0.19677022
SMAD3,0.61611825
TFDP1,0.00056198204
E2F6,0.002761064
TFDP2,0.001430953
MGA,0.13132954
MAX,0.0007774797
SUPT4H1,0.0071638566
SUPT5H,0.004072079
ELOB,0.00019515319
ELOC,0.00028864993
GTF2F1,0.00080252247
GTF2F2,0.0070441035
NCBP2,0.005701694
NCBP1,0.00041307582
TAP1,0.00026102102
TAP2,0.005170136
AMN,0.005115408
CUBN,0.71280885
MMUT,0.0005682931
MMAA,2.2961642e-05
FASLG,0.039599486
FAS,0.9839188
BAG4,0.19508103
TNFRSF1A,0.84515977
TNF,0.6663466
TAX1BP1,0.00022809223
TNFAIP3,0.83056843
TNFRSF10A,9.981984e-05
TNFRSF10D,0.000101253834
TNFRSF10B,0.0035059864
NGF,0.0043027266
NGFR,0.010090753
IRAK1,0.8096739
MYD88,0.75512826
NFKB1,0.9397606
RELA,0.49404225
UBE2B,9.762366e-05
RAD18,0.038689367
WDR48,0.007891611
USP1,0.00037078597
REV3L,0.008480514
MAD2L2,0.0038267043
RCHY1,0.03281331
POLH,0.002153581
TRIM25,0.00025181886
UBE2L6,0.0010271835
UBA7,0.002636966
ISG15,0.029655194
SUMO3,0.6273682
FAAP24,0.002548184
FANCM,0.002984785
CENPX,0.0024755793
CENPS,0.00018460651
FANCI,0.00448782
FANCD2,0.0001787368
PCCA,0.000795449
PCCB,6.436605e-05
MCCC2,0.00024933924
MCCC1,0.0008542381
CLCF1,0.007613475
CRLF1,0.00029542262
PRKCSH,0.0024208885
GANAB,0.0035085515
CALR,0.059854355
CANX,0.0686688
RAD51B,1.9578636e-05
NME2,0.00016753607
NME1,0.012342097
APPL1,0.108849175
DCC,0.004232926
MAGED1,0.014326212
UNC5A,0.00045550932
PPP3R1,0.092519514
PPP3CC,0.037938867
BCL2,0.009837564
BAD,0.036609605
BAK1,0.015231217
CYCS,8.306172e-05
XIAP,0.18687785
CASP3,0.3044665
CASP7,0.10499602
CASP9,0.017167406
DIABLO,0.00792439
DFFB,0.0010913652
DFFA,0.0013527115
KPNA1,0.17555904
KPNB1,0.11250339
PAK2,0.004979571
ARHGAP10,0.005546965
RIPK1,0.61597437
RIPK3,0.14096619
GCH1,0.011900833
GCHFR,0.002233189
UBE2V1,0.0015224194
TRAF6,0.9955177
IRAK2,0.528617
HBEGF,0.0029583895
CAPZA2,6.3615876e-06
CAPZB,0.0070084827
CAPZA3,0.0070010275
CAPZA1,0.0017534221
GORASP1,0.0023547749
GOLGA2,0.025853995
TGFBR1,0.03253482
FKBP1A,0.0053756773
RASGRF2,0.0021154226
RASGRF1,0.3312384
GRIA2,0.038918644
GRIA1,0.022116488
TYK2,0.90644646
IFNAR1,0.011068011
TFB2M,0.0001281011
POLRMT,5.243461e-05
DGCR8,9.984535e-05
DROSHA,0.102488585
TSNAX,1.4132019e-06
TSN,0.0015034004
BAZ2A,0.0006551407
DNMT3A,0.008361051
DNMT3L,0.11883299
DNMT3B,0.0026111705
CUL1,0.030999186
CAND1,0.0015774831
TFRC,0.042614542
HFE,0.0037741782
TF,0.0012668112
HSD17B8,6.0842045e-05
CBR4,3.3924636e-05
CCNB2,0.00089454785
SBF1,0.004016114
MTMR2,0.004003743
MTMR7,0.0009395937
MTMR9,0.00074454
PIK3CB,0.1641762
PIK3R2,0.41946328
PIK3CD,0.056077566
PIK3R3,0.005973735
PIK3R5,0.002536626
PIK3CG,0.15475847
PLEKHA2,0.0039779656
PTPN13,0.010193358
PLEKHA1,0.004781113
MTMR6,0.0020234673
SBF2,0.0012549859
MTM1,0.00036492475
MTMR12,0.0038574846
GAB2,0.0020392041
ITPR1,0.044429112
MRVI1,0.0019835785
PTPN6,0.36574024
PECAM1,0.16385803
PTPN11,0.7133345
IL6R,0.012856061
IL6,0.0029845752
STAT1,0.80451494
STAT3,0.7000683
KDR,0.020928403
HRG,0.007428109
PLG,0.001166544
ANXA2,0.025551373
S100A10,0.012681901
SERPINF2,0.0004415691
PLAU,0.0070261788
PLAUR,0.0023018816
ATP7A,0.00504511
PDZD11,0.0031395766
CLCN7,0.00012828215
OSTM1,0.000102856815
TXN,6.0368373e-05
TXNIP,0.22683115
NLRP3,0.06830565
MEFV,0.912726
PSTPIP1,0.00102797
PYCARD,0.3934334
CGA,0.0052214805
LHB,0.0023124304
AVPR2,0.0013245826
AVP,0.0005003068
GCG,0.01352602
GCGR,0.0024493912
RAMP3,0.0002525828
CALCR,0.0038294685
RAMP1,0.002399487
TSHB,0.00077421893
GPHB5,0.0055069597
GPHA2,0.0021914283
CALCRL,0.00013516034
RAMP2,0.0049706628
GLP2R,0.047809254
FSHB,0.00046358156
ITGAV,0.0003512857
ITGB5,0.0009347301
STX4,0.00023928247
SEC22B,7.321762e-05
GLI3,0.42797178
PTCH1,0.26547006
GLI1,0.8543305
GLI2,0.42587247
SUFU,0.023403808
NUMB,0.014038604
ITCH,0.73282397
ABHD5,0.002758774
PLIN1,0.00020696029
LIPE,0.002897285
FABP4,0.0028302653
KCNJ16,0.004602205
KCNJ15,0.003972055
KCNJ10,0.0044714673
CXCL16,0.0018880627
CXCR6,0.0022891895
C5AR1,0.011499165
C5,0.03405464
CX3CL1,0.009086904
CX3CR1,0.014352194
TAS1R2,1.2517037e-05
TAS1R3,7.5542695e-05
TAS1R1,5.8080313e-06
GABBR2,0.0019634876
GABBR1,0.021555739
IL10RB,2.2036342e-05
GABPB1,0.0071414094
GABPA,0.031651627
TNPO1,0.08737808
KIF17,0.03357778
GSTA1,3.855062e-05
GSTA2,0.00010927367
GCLC,0.0024363457
GCLM,0.0014686945
INS,0.00018093438
INSR,0.83972776
ABCD2,9.8018056e-05
ABCD1,0.000410441
ABCD3,0.0027341817
ABCG5,0.004518883
ABCG8,0.0117281405
CHRNB2,0.017387947
CHRNA4,0.00060583465
CHRNA3,0.00010148796
CHRNB4,0.0033901762
FOXM1,0.15768191
PLK1,0.11093966
CENPF,0.0014024989
TACR1,0.0011291057
TAC1,0.031734783
TACR2,0.00032119147
OXTR,0.0062905103
OXT,0.012379844
CRH,0.0032957536
CRHBP,0.00035554013
ADGRE5,0.0014219581
CD55,0.050569516
CBY1,0.0005856206
CTNNB1,0.7575403
CTNNBIP1,0.0032265612
CHD8,0.004941189
MCFD2,0.00036610896
LMAN1,0.0024432263
TMED10,7.460879e-05
TMED2,0.0001316909
CD4,0.06462469
LCK,0.3020399
RAB3GAP1,0.0002968116
RAB3GAP2,0.0005318254
NTRK2,0.09063134
BDNF,0.011583602
NTF4,0.0003651257
IL2RB,0.45936018
JAK1,0.89346874
JAK3,0.47114456
IL2RG,0.33464503
PTK2B,0.035725337
EBI3,0.04276996
IL27,0.00012851808
NECTIN1,0.020849423
NECTIN3,0.005061441
NECTIN4,0.017064262
NECTIN2,0.0046108263
PVR,0.003952106
IL12B,0.054629706
IL12A,0.0616866
IL12RB1,0.15420367
IL12RB2,0.015868265
JAK2,0.9057091
TLR2,0.5283725
TLR1,0.12882023
TLR6,0.004972908
RBPJ,0.013297166
SNW1,0.018276792
NOTCH1,0.9970187
HIF1A,0.2582364
JAG1,0.26086152
JAG2,0.005028092
CBL,0.80275863
NCAM1,0.03627976
NCAN,0.009591888
COL4A2,0.011797462
COL4A1,0.005047586
HLA-C,0.036484294
B2M,0.8479887
KIR2DS5,0.012857046
TYROBP,0.00011183635
CLEC5A,0.0022574272
NCR2,0.0006617892
SIRPB1,0.0006247698
TREM1,0.0065197903
TREM2,0.0014345277
CD300E,0.0032351266
CD300LB,0.0032992754
GRAP2,0.00026717875
LCP2,0.016990684
SPRY2,0.00012326804
DAB2,0.004947655
LRP2,0.16937988
VAMP7,0.0006982091
AGFG1,0.0014007898
AMPH,0.003490297
BIN1,0.0014845724
SQSTM1,0.47733146
MAP3K3,0.9501395
EIF4EBP1,0.013827357
EIF4E,0.00048635787
NOTCH2,0.45098338
IL18BP,0.0032900213
IL18,0.038614888
IL18R1,0.006735751
IL15,0.010991332
IL15RA,0.048433144
IRF3,0.057298426
IRF7,0.97187793
CREBBP,0.13620383
NOTCH3,0.3724584
ELF3,0.031949002
CNTN1,0.10726154
MDK,0.001845475
DLL1,0.07220734
YBX1,0.0580551
HEY1,0.05237545
FOXH1,0.003160458
DRAP1,0.014299808
CDON,0.97439325
BOC,0.9991598
IL23A,0.0025871769
IL23R,0.02682319
STAT4,0.0285255
KNG1,0.0027002797
C1QBP,0.00025385706
F8,0.0028808508
VWF,0.03734922
F9,0.00067234004
F13B,0.00010324871
F13A1,0.0008013029
PROC,0.00072477286
PROCR,0.005035972
LY96,0.314302
TLR4,0.87928754
S100A9,0.012704047
S100A8,0.018101858
JUND,0.8504807
FOSB,0.5525723
CFB,0.0100248
C3,0.4807924
CKM,0.0068794303
CKB,0.0001930699
PRDX6,0.00022559802
GSTP1,6.5987783e-06
HSF1,0.3388479
HSBP1,0.00017106676
YWHAE,3.4180044e-05
CCAR2,0.005246364
SIRT1,0.005492459
ID1,0.1935559
ETS2,0.03718244
ERF,0.0052519017
MAP3K5,0.25735328
CDKN2B,0.25764823
CEBPB,0.93676585
CLEC4C,0.0034494726
FCER1G,0.0037287134
CLEC4E,0.005651614
MAP3K14,0.0012499702
CHUK,0.59946805
NFKB2,0.3653207
RELB,0.044267986
MALT1,0.18324918
CASP8,0.91848904
CD209,0.086973704
ICAM2,0.0006672751
GTSE1,0.0013396919
CDC20,0.015299069
MAD2L1,0.0008095183
MYC,0.033596694
CDK2,0.063081935
CCNE1,0.83339274
GMNN,0.00017693921
CDT1,0.022021448
DBF4,0.0006310236
CDC7,0.00026323128
CCNA1,0.025565911
CCNA2,0.13584524
PHLDA1,0.0010426125
CTDNEP1,0.0073794597
CNEP1R1,0.0004473097
ESPL1,0.0007248033
PTTG1,0.0104590235
MAU2,0.0011306885
NIPBL,0.0043580574
FBXO5,0.0065692887
FERMT2,0.00013609316
FBLIM1,0.0022942
ITGB1,0.12051902
ILK,0.49884027
