Gene,Score
STIM1,0.000106730615
TRPC1,0.0077025285
NOS1,0.29030243
ATP2B4,0.0906566
ABCC9,0.00360454
KCNJ11,0.0059627984
HADHA,0.00064617407
HADHB,0.0014633052
GTF2E2,0.08489222
GTF2E1,0.040779475
GTF2A2,0.0052125147
GTF2A1,0.37512907
VANGL2,0.0060805557
SCRIB,0.25827637
DVL2,0.080416135
PARD6A,0.05869669
GRB2,0.18808536
GAB1,0.05455931
EGFR,0.9911925
EGF,0.018756261
PIK3CA,0.36869755
PIK3R1,0.7531057
SRC,0.93424726
PXN,0.93145746
CLPS,0.00030690042
PNLIP,0.005382137
GNB1,0.28768396
GNGT1,0.012338187
CNGA1,0.00025947843
CNGB1,1.0229391e-05
FNTB,0.0040839384
FNTA,0.0017048685
RAD50,0.45599163
MRE11,0.4441738
KPNA2,0.13193731
NBN,0.4877993
KAT5,0.03183303
ATM,0.9998821
BAZ1B,0.15727663
SMARCA5,0.41648304
UBE2I,0.92142254
SUMO1,0.8991816
UBE2V2,0.0011609049
UBE2N,0.00027191444
BARD1,0.01803662
BRCA1,0.28295985
SUMO2,0.34763893
MDC1,0.15553494
HERC2,0.0026486295
ATRIP,0.005438826
ATR,0.7677395
TIMELESS,0.0064494833
TIPIN,0.0016616422
PPP4R2,0.002348384
PPP4C,0.009739212
RAD51C,0.0004290575
XRCC3,0.0032960908
EME2,0.0043387734
MUS81,0.009741094
EME1,0.0049652196
BRCA2,0.8287479
RAD51,0.19048145
ERCC4,0.03773172
ERCC1,0.013651428
XRCC1,0.017089907
LIG3,0.02314457
XRCC6,0.62684876
XRCC5,0.69613534
XRCC4,0.009611899
LIG4,0.0021501807
HEXB,0.0011174094
HEXA,0.0010669084
EXT2,0.011101133
EXT1,0.0005953724
SOS1,0.13917026
CDK1,0.727355
CCNB1,0.09656938
PCF11,0.0030870424
CLP1,0.0011675962
TEAD1,0.064982995
YAP1,0.0012994417
TEAD2,0.101681
TEAD3,0.01047677
TEAD4,0.028673353
CDK8,0.7196553
CCNC,0.025518496
SMAD7,0.9422868
RNF111,0.07683984
PTEN,0.30079478
TP53,0.9999819
TSC1,0.32441956
TSC2,0.7675863
SCO2,0.0017534356
RRM2B,0.012711423
GLS2,0.0023045058
IGFBP3,0.009935856
PMAIP1,0.005701316
BID,0.030801045
TP53AIP1,0.00044550456
ZNF420,0.009940406
