Gene,Score
STIM1,0.0021506166
TRPC1,0.28790963
NOS1,0.61566633
ATP2B4,0.013685498
ABCC9,0.803919
KCNJ11,0.08470143
HADHA,0.24512194
HADHB,0.04010116
GTF2E2,0.021666886
GTF2E1,0.029512359
GTF2A2,0.019474918
GTF2A1,0.06957597
VANGL2,0.40393144
SCRIB,0.86411697
DVL2,0.15941183
PARD6A,0.11908932
GRB2,0.21868482
GAB1,0.17655075
EGFR,0.99999905
EGF,0.040378332
PIK3CA,0.6214118
PIK3R1,0.97551936
SRC,0.91304755
PXN,0.87106013
CLPS,0.0010892852
PNLIP,0.0021072328
GNB1,0.3948562
GNGT1,0.10779324
CNGA1,0.0006825377
CNGB1,0.00021499039
FNTB,0.006179045
FNTA,0.10343225
RAD50,0.12527364
MRE11,0.16474712
KPNA2,0.039336577
NBN,0.038319528
KAT5,0.0010248238
ATM,0.34266472
BAZ1B,0.02116175
SMARCA5,0.051183365
UBE2I,0.10709966
SUMO1,0.31509566
UBE2V2,0.019020075
UBE2N,0.026328824
BARD1,0.022433074
BRCA1,0.2765106
SUMO2,0.036076173
MDC1,0.45711216
HERC2,0.026523827
ATRIP,0.0065849097
ATR,0.17938797
TIMELESS,0.040591642
TIPIN,0.05545936
PPP4R2,0.0046248646
PPP4C,0.07834566
RAD51C,0.07337443
XRCC3,0.031188333
EME2,0.0042002606
MUS81,0.028361656
EME1,0.0029034892
BRCA2,0.74151623
RAD51,0.05169853
ERCC4,0.028423036
ERCC1,0.036049828
XRCC1,0.0339041
LIG3,0.024181183
XRCC6,0.029021846
XRCC5,0.25913465
XRCC4,0.0146800205
LIG4,0.02797967
HEXB,0.0045061205
HEXA,0.0079199225
EXT2,0.01553873
EXT1,0.018433176
SOS1,0.043103226
CDK1,0.11175197
CCNB1,0.40064824
PCF11,0.07726778
CLP1,0.039940827
TEAD1,0.047818504
YAP1,0.5727906
TEAD2,0.20527366
TEAD3,0.028509112
TEAD4,0.010090616
CDK8,0.033197388
CCNC,0.004362053
SMAD7,0.8152385
RNF111,0.62985766
PTEN,0.45966804
TP53,1.0
TSC1,0.18062425
TSC2,0.060029797
SCO2,0.023394652
RRM2B,0.025642794
GLS2,0.014193721
IGFBP3,0.34936404
PMAIP1,0.0013656722
BID,0.107450165
TP53AIP1,0.009657357
ZNF420,0.0057345573
STEAP3,0.0047112624
BNIP3L,0.004155275
TRIAP1,0.0039042265
AIFM2,0.0025658377
TP53INP1,0.0017584941
APAF1,0.032968014
PIDD1,0.02872953
CRADD,0.010753677
NLRC4,0.006576098
CASP6,0.05169183
CASP10,0.11556984
NDRG1,0.021572443
BCL2L14,0.0028534755
BIRC5,0.1316906
BCL6,0.01128261
ZNF385A,0.013690392
ARID3A,0.029351983
E2F7,0.030550228
E2F8,0.00728698
GADD45A,0.061639678
AURKA,0.7948982
PCNA,0.068366244
BAX,0.33494365
SFN,0.15575597
PLK2,0.08689787
PLK3,0.023841403
RGCC,0.06855862
PLAGL1,0.019804867
ATF2,0.10479473
JUN,0.21981505
FOS,0.15321016
PMS2,0.024521105
MLH1,0.12566172
FANCC,0.47509435
DDB2,0.07936279
PRDM1,0.13473682
MDM2,0.27256972
MDM4,0.103185706
CCNG1,0.0036219312
HIPK2,0.23970991
PIN1,0.0057502
HIPK1,0.012562021
SSRP1,0.017537255
SUPT16H,0.008352697
CSNK2A1,0.07578387
CSNK2A2,0.13717823
TPX2,0.035349395
NOC2L,0.012973512
CDK5R1,0.05575433
CDK5,0.16486022
POU4F1,0.024070524
POU4F2,0.0013704833
BANP,0.0015621486
PHF20,0.030804863
L3MBTL1,0.028022025
EHMT2,5.1845112e-05
EHMT1,0.010568045
TFAP2A,0.58867013
DEK,0.007524898
TFAP2C,0.022158407
WWOX,9.309372e-05
TFAP2B,0.041637618
