Gene,Score
STIM1,0.003460765
TRPC1,0.08723364
NOS1,0.7100161
ATP2B4,0.08670616
ABCC9,0.00700161
KCNJ11,0.004135853
HADHA,0.097148515
HADHB,0.023081757
GTF2E2,0.0338756
GTF2E1,0.098058335
GTF2A2,0.013984703
GTF2A1,0.073771074
VANGL2,0.14323452
SCRIB,0.4884034
DVL2,0.25362715
PARD6A,0.2753271
GRB2,0.5500322
GAB1,0.07048543
EGFR,0.6023654
EGF,0.06446014
PIK3CA,0.6604928
PIK3R1,0.76962656
SRC,0.99950206
PXN,0.9730113
CLPS,0.00013896635
PNLIP,0.0042149597
GNB1,0.56358963
GNGT1,0.019283235
CNGA1,0.0018730208
CNGB1,0.00024492235
FNTB,0.021639075
FNTA,0.044048235
RAD50,0.46112734
MRE11,0.24385811
KPNA2,0.37432772
NBN,0.19232616
KAT5,0.21722308
ATM,0.67912984
BAZ1B,0.20499575
SMARCA5,0.3604398
UBE2I,0.40875646
SUMO1,0.61550415
UBE2V2,0.008528627
UBE2N,0.05417931
BARD1,0.2869539
BRCA1,0.8159269
SUMO2,0.7758692
MDC1,0.2972038
HERC2,0.044035964
ATRIP,0.002974857
ATR,0.5505584
TIMELESS,0.09094355
TIPIN,0.015016821
PPP4R2,0.02021971
PPP4C,0.16721566
RAD51C,0.0005977226
XRCC3,0.02034979
EME2,0.0073292386
MUS81,0.064221576
EME1,0.038618896
BRCA2,0.23624025
RAD51,0.5541411
ERCC4,0.035765227
ERCC1,0.09236789
XRCC1,0.047900006
LIG3,0.042229347
XRCC6,0.9157858
XRCC5,0.9368628
XRCC4,0.015825355
LIG4,0.031974737
HEXB,0.012464219
HEXA,0.015099438
EXT2,0.01577337
EXT1,0.03466877
SOS1,0.04304387
CDK1,0.68837607
CCNB1,0.12675226
PCF11,0.021124827
CLP1,0.004327921
TEAD1,0.02660462
YAP1,0.80019885
TEAD2,0.5849658
TEAD3,0.018876866
TEAD4,0.007055462
CDK8,0.5627553
CCNC,0.0003260445
SMAD7,0.83480865
RNF111,0.037977245
PTEN,0.81644416
TP53,0.97383183
TSC1,0.7094684
TSC2,0.70018625
SCO2,0.007515275
RRM2B,0.035282012
GLS2,0.027787248
IGFBP3,0.088036485
