Gene,Score
STIM1,0.015208433
TRPC1,0.032256667
NOS1,0.04518784
ATP2B4,0.0015457984
ABCC9,0.015379804
KCNJ11,0.013683278
HADHA,0.039684653
HADHB,0.0132174725
GTF2E2,0.038644567
GTF2E1,0.016662758
GTF2A2,0.01741145
GTF2A1,0.02066989
VANGL2,0.011491193
SCRIB,0.5277846
DVL2,0.63420546
PARD6A,0.18096878
GRB2,0.6364298
GAB1,0.9453168
EGFR,0.96052736
EGF,0.032140948
PIK3CA,1.0
PIK3R1,1.0
SRC,0.7870253
PXN,0.9586492
CLPS,0.0013838276
PNLIP,0.033145264
GNB1,0.01942328
GNGT1,0.010816438
CNGA1,0.004620915
CNGB1,0.003985011
FNTB,0.016888395
FNTA,0.03278507
RAD50,0.10094862
MRE11,0.0880581
KPNA2,0.66649514
NBN,0.093346536
KAT5,0.07354531
ATM,0.8736934
BAZ1B,0.1410301
SMARCA5,0.3334659
UBE2I,0.68376464
SUMO1,0.8868969
UBE2V2,0.024385586
UBE2N,0.18856975
BARD1,0.50224763
BRCA1,0.89199865
SUMO2,0.013402366
MDC1,0.4689451
HERC2,0.03840564
ATRIP,0.0025149924
ATR,0.26348612
TIMELESS,0.013545701
TIPIN,0.014115284
PPP4R2,0.061305493
PPP4C,0.0066817175
RAD51C,0.0024141208
XRCC3,0.005332746
EME2,0.009626776
MUS81,0.012579267
EME1,0.0061007533
BRCA2,0.08973379
RAD51,0.018672273
ERCC4,0.04322019
ERCC1,0.020402782
XRCC1,0.01199624
LIG3,0.042105235
XRCC6,0.10695702
XRCC5,0.3682544
XRCC4,0.01656745
LIG4,0.042484246
HEXB,0.007988667
HEXA,0.030846832
EXT2,0.0018535851
EXT1,0.00043726855
SOS1,0.30402425
CDK1,0.067290954
CCNB1,0.01500944
PCF11,0.033284165
CLP1,0.018781329
TEAD1,0.120925546
YAP1,0.4670141
TEAD2,0.14729276
TEAD3,0.0039307163
TEAD4,0.0024877423
CDK8,0.3757069
CCNC,0.028110957
SMAD7,0.21413173
RNF111,0.03804244
PTEN,1.0
TP53,0.9954904
TSC1,0.15911368
TSC2,0.082466245
SCO2,0.004488973
RRM2B,0.008051702
GLS2,0.024235923
IGFBP3,0.0015681919
PMAIP1,0.008904429
BID,0.16924903
TP53AIP1,0.007370939
ZNF420,0.013801192
STEAP3,0.0029118392
BNIP3L,0.0025940223
TRIAP1,0.012485748
AIFM2,0.004580986
TP53INP1,0.008434134
APAF1,0.014250344
PIDD1,0.009245439
CRADD,0.0042658374
NLRC4,0.22330004
CASP6,0.22140111
CASP10,0.07320876
NDRG1,0.02262638
BCL2L14,0.011596443
BIRC5,0.19126098
BCL6,0.6672085
ZNF385A,0.01349236
ARID3A,0.07599604
E2F7,0.018499814
E2F8,0.022078937
GADD45A,0.12780221
AURKA,0.33689985
PCNA,0.2178664
BAX,0.4269229
SFN,0.060864978
PLK2,0.09387813
PLK3,0.06473267
RGCC,0.051525738
PLAGL1,0.037880886
ATF2,0.43951187
JUN,0.59597987
FOS,0.2874683
PMS2,0.114188306
MLH1,0.08335072
FANCC,0.04592753
DDB2,0.018878985
PRDM1,0.10727311
MDM2,0.29141393
MDM4,0.26572207
CCNG1,0.026484841
HIPK2,0.25227156
PIN1,0.0153114
HIPK1,0.09039604
SSRP1,0.023525883
SUPT16H,0.6888761
CSNK2A1,0.2605271
CSNK2A2,0.086617485
TPX2,0.27059066
NOC2L,0.013416023
CDK5R1,0.021031555
CDK5,0.5434838
POU4F1,0.010287548
POU4F2,0.00031375102
BANP,0.010614115
PHF20,0.009832483
L3MBTL1,0.052150093
EHMT2,0.0049994416
EHMT1,0.014321064
TFAP2A,0.0579153
DEK,0.063511655
TFAP2C,0.034382015
WWOX,0.03998722
TFAP2B,0.23983267
YEATS4,0.0060707135
ESR1,0.9406887
ATAD2,0.03586953
VEGFA,0.042136062
TGFA,0.03583805
CDKN1A,0.12109581
RUNX1,0.573977
TP73,0.7356835
ZFPM1,0.008100275
GATA1,0.014851708
CTSK,0.023254972
SERPINB13,0.0049155317
CCND1,0.96866447
CDK4,0.41006577
ESRRA,0.06298223
PPARGC1A,0.85404277
TWIST1,0.14822564
RUNX2,0.22872624
NKX3-2,0.06571484
MSX2,0.0068194834
SMAD4,0.20203097
SMAD1,0.52595097
RUNX3,0.14296202
SMAD3,0.6011192
TFDP1,0.02518721
E2F6,0.022282345
TFDP2,0.011213853
MGA,0.036795907
MAX,0.29897717
SUPT4H1,0.015059078
